repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
7,4,0,80,64,24,0.001,0.0001,0.4,0.5349999999999999,27,0.4237439581627081,0.7291242603550296,0.3384615384615385,0.9907692307692307,0.6646153846153846,0.4879287281471544,0.4731182795698925,0.9314685314685315,0.5349999999999999,22,644,6,43
7,4,1,32,16,24,0.0005,0.001,0.2,0.5249999999999999,17,0.5107222568139685,0.8017869822485209,0.46153846153846156,0.9907692307692307,0.7261538461538461,0.5946496846233759,0.594059405940594,0.9426573426573427,0.5249999999999999,30,644,6,35
7,4,2,48,16,24,0.0005,0.001,0.4,0.48499999999999993,12,0.5956863416244854,0.8418816568047338,0.4307692307692308,0.9846153846153847,0.7076923076923077,0.5323259422648962,0.5436893203883496,0.9342657342657342,0.48499999999999993,28,640,10,37
7,4,3,32,32,32,0.0003,0.001,0.5,0.48999999999999994,13,0.35185552515606433,0.653905325443787,0.2923076923076923,0.9846153846153847,0.6384615384615385,0.40356309894065007,0.40425531914893614,0.9216783216783216,0.48999999999999994,19,640,10,46
7,4,4,32,64,32,0.001,0.001,0.2,0.58,8,0.46548907847135806,0.737112426035503,0.47692307692307695,0.9738461538461538,0.7253846153846154,0.517826276827966,0.5486725663716815,0.9286713286713286,0.58,31,633,17,34
7,4,5,64,32,32,0.0005,0.0001,0.2,0.585,10,0.3131841880427919,0.6507573964497041,0.24615384615384617,0.9953846153846154,0.6207692307692307,0.4317359688090169,0.38095238095238093,0.9272727272727272,0.585,16,647,3,49
8,0,0,80,32,48,0.0005,0.001,0.2,0.4699999999999999,6,0.4223576362696116,0.77218017578125,0.453125,0.9796875,0.71640625,0.5253226533167564,0.5471698113207547,0.9318181818181818,0.4699999999999999,29,627,13,35
8,0,1,32,64,48,0.0005,0.0001,0.2,0.4599999999999999,14,0.42453858124245913,0.76680908203125,0.421875,0.984375,0.703125,0.5233708966940185,0.5346534653465346,0.9332386363636364,0.4599999999999999,27,630,10,37
8,0,2,64,64,24,0.0003,0.001,0.4,0.585,12,0.4684830193430944,0.76336669921875,0.171875,0.9953125,0.58359375,0.344266856866966,0.28205128205128205,0.9204545454545454,0.585,11,637,3,53
8,0,3,48,48,48,0.001,0.0001,0.4,0.5049999999999999,4,0.4556540006391167,0.75992431640625,0.421875,0.9828125,0.70234375,0.5148383042588844,0.5294117647058824,0.9318181818181818,0.5049999999999999,27,629,11,37
8,0,4,48,48,32,0.0003,0.001,0.2,0.575,20,0.34098214082185263,0.6751464843749999,0.234375,0.996875,0.615625,0.43307078401155225,0.37037037037037035,0.9275568181818182,0.575,15,638,2,49
8,0,5,48,64,16,0.001,0.001,0.2,0.5399999999999999,19,0.545613921866267,0.82752685546875,0.484375,0.9953125,0.73984375,0.6432229264409112,0.6326530612244898,0.9488636363636364,0.5399999999999999,31,637,3,33
8,1,0,64,64,32,0.0003,0.0001,0.5,0.4599999999999999,10,0.35451116545476197,0.7292426035502959,0.7076923076923077,0.7246153846153847,0.7161538461538461,0.26761904761904765,0.31724137931034485,0.7230769230769231,0.4599999999999999,46,471,179,19
