repeat,outer_fold,n_train_graphs,n_test_graphs,n_train_groups,n_test_groups,n_train_edcs,n_test_edcs,n_train_non_edcs,n_test_non_edcs,selected_epochs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
18,4,715,176,65,16,65,16,650,160,41,32,16,48,0.001,0.0005,0.2,0.953422619047619,0.99296875,1.0,0.925,0.9625,0.7270291799999699,0.7272727272727273,0.9318181818181818,0.48999999999999994,16,148,12,0
18,5,715,176,65,16,65,16,650,160,29,48,32,16,0.0003,0.001,0.2,0.7436236489545314,0.9781250000000001,0.5625,0.9875,0.775,0.6531972647421809,0.6666666666666666,0.9488636363636364,0.5099999999999999,9,158,2,7
19,1,704,187,64,17,64,17,640,170,34,32,16,32,0.0005,0.0005,0.2,0.923158459187871,0.9937716262975779,0.8235294117647058,0.9941176470588236,0.9088235294117647,0.8653762008469196,0.8749999999999999,0.9786096256684492,0.575,14,169,1,3
19,2,715,176,65,16,65,16,650,160,41,64,64,24,0.0003,0.0005,0.2,0.7621239361129067,0.9591796875,0.9375,0.95625,0.946875,0.7768985960673559,0.7894736842105263,0.9545454545454546,0.43999999999999995,15,153,7,1
19,3,715,176,65,16,65,16,650,160,42,64,32,48,0.0003,0.0001,0.4,0.8738964975537866,0.98515625,1.0,0.5875,0.79375,0.3385766476611513,0.326530612244898,0.625,0.49499999999999994,16,94,66,0
19,4,715,176,65,16,65,16,650,160,20,48,64,24,0.0005,0.0001,0.4,0.7892465730541389,0.9841796875,1.0,0.94375,0.971875,0.7771743691090179,0.7804878048780487,0.9488636363636364,0.49999999999999994,16,151,9,0
19,5,715,176,65,16,65,16,650,160,17,80,64,32,0.0005,0.0005,0.2,0.9321289311179017,0.9929687500000001,0.5625,1.0,0.78125,0.7341131763485946,0.72,0.9602272727272727,0.48999999999999994,9,160,0,7
20,1,704,187,64,17,64,17,640,170,29,48,64,32,0.001,0.0001,0.4,0.6727357609710551,0.9745674740484429,1.0,0.9058823529411765,0.9529411764705882,0.6831300510639733,0.6799999999999999,0.9144385026737968,0.6399999999999999,17,154,16,0
20,2,715,176,65,16,65,16,650,160,46,80,48,16,0.001,0.0005,0.4,0.8685716576704949,0.9630859375,0.875,0.95625,0.915625,0.7371844139800121,0.7567567567567567,0.9488636363636364,0.4699999999999999,14,153,7,2
20,3,715,176,65,16,65,16,650,160,20,80,48,16,0.001,0.001,0.2,0.9639069264069264,0.9960937500000001,0.625,1.0,0.8125,0.7761505257063329,0.7692307692307693,0.9659090909090909,0.5249999999999999,10,160,0,6
20,4,715,176,65,16,65,16,650,160,32,32,32,48,0.0005,0.0001,0.5,0.9719611528822055,0.996484375,1.0,0.89375,0.946875,0.6582805886043833,0.653061224489796,0.9034090909090909,0.4799999999999999,16,143,17,0
20,5,715,176,65,16,65,16,650,160,51,32,32,24,0.001,0.0005,0.2,0.9390810068199775,0.9947265625,1.0,0.9875,0.99375,0.936897954837013,0.9411764705882353,0.9886363636363636,0.6699999999999999,16,158,2,0
