repeat,outer_fold,selected_threshold,selected_epochs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_best_pr_auc
18,1,0.5349999999999999,9,64,16,32,0.001,0.0005,0.5,0.5694157934552703
18,2,0.4499999999999999,40,64,32,48,0.0005,0.0001,0.4,0.8208051907511474
18,3,0.6,33,48,64,48,0.001,0.0001,0.5,0.6798814668844222
18,4,0.48999999999999994,41,32,16,48,0.001,0.0005,0.2,0.729701104812912
18,5,0.5099999999999999,29,48,32,16,0.0003,0.001,0.2,0.6150862355637059
19,1,0.575,34,32,16,32,0.0005,0.0005,0.2,0.5071653583518213
19,2,0.43999999999999995,41,64,64,24,0.0003,0.0005,0.2,0.6934213664190589
19,3,0.49499999999999994,42,64,32,48,0.0003,0.0001,0.4,0.7701465574146893
19,4,0.49999999999999994,20,48,64,24,0.0005,0.0001,0.4,0.7258141302008397
19,5,0.48999999999999994,17,80,64,32,0.0005,0.0005,0.2,0.7396486604097134
20,1,0.6399999999999999,29,48,64,32,0.001,0.0001,0.4,0.7117552743950673
20,2,0.4699999999999999,46,80,48,16,0.001,0.0005,0.4,0.761140732300479
20,3,0.5249999999999999,20,80,48,16,0.001,0.001,0.2,0.6161017765206541
20,4,0.4799999999999999,32,32,32,48,0.0005,0.0001,0.5,0.7937151489078456
20,5,0.6699999999999999,51,32,32,24,0.001,0.0005,0.2,0.712216077406159
