heldout_parent_group,heldout_edc_graph_id,n_train_graphs,n_train_edcs,n_train_non_edcs,n_test_graphs,n_test_edcs,n_test_non_edcs,edc_probability,edc_prediction,edc_rank_within_group,n_decoys_predicted_edc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
42,42,880,80,800,11,1,10,0.31012165546417236,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
43,43,880,80,800,11,1,10,0.313678115606308,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
44,44,880,80,800,11,1,10,0.3282753825187683,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
45,45,880,80,800,11,1,10,0.4245399534702301,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
46,46,880,80,800,11,1,10,0.9929371476173401,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
47,47,880,80,800,11,1,10,0.993314802646637,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
48,48,880,80,800,11,1,10,0.48005011677742004,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
49,49,880,80,800,11,1,10,0.44204291701316833,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
50,50,880,80,800,11,1,10,0.6703612208366394,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
51,51,880,80,800,11,1,10,0.02374991588294506,0,2,0,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
52,52,880,80,800,11,1,10,0.407100111246109,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
53,53,880,80,800,11,1,10,0.3285496234893799,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
54,54,880,80,800,11,1,10,0.3872988820075989,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
55,55,880,80,800,11,1,10,0.98726487159729,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
56,56,880,80,800,11,1,10,0.9540923237800598,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
57,57,880,80,800,11,1,10,0.9875625371932983,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
58,58,880,80,800,11,1,10,0.9552485942840576,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
59,59,880,80,800,11,1,10,0.2679040729999542,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
60,60,880,80,800,11,1,10,0.2630310356616974,0,2,0,60,40,20,0.0005,0.0005,64,0.5,0.5,0.9,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
61,61,880,80,800,11,1,10,0.9643807411193848,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
62,62,880,80,800,11,1,10,0.9897906184196472,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
63,63,880,80,800,11,1,10,0.989641010761261,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
64,64,880,80,800,11,1,10,0.46129003167152405,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
65,65,880,80,800,11,1,10,0.467715322971344,0,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
66,66,880,80,800,11,1,10,0.0015011467039585114,0,7,0,60,40,20,0.0005,0.0005,64,0.5,0.14285714285714285,0.4,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,10,0,1
67,67,880,80,800,11,1,10,0.9461855888366699,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
68,68,880,80,800,11,1,10,0.9474120736122131,1,1,0,60,40,20,0.0005,0.0005,64,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,10,0,0
