bootstrap_iteration,pr_auc,roc_auc,precision,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
15,0.80407040045237,0.976741350403902,0.8307692307692308,0.6666666666666666,0.9864197530864197,0.8265432098765432,0.7219530742269423,0.7397260273972603,0.957351290684624,0.5,54,799,11,27
16,0.7837320839335619,0.9818472793781436,0.8285714285714286,0.7160493827160493,0.9851851851851852,0.8506172839506172,0.7492517002439347,0.7682119205298013,0.9607182940516273,0.5,58,798,12,23
17,0.789984153261704,0.9823502514860539,0.7887323943661971,0.691358024691358,0.9814814814814815,0.8364197530864197,0.7142666974943136,0.7368421052631579,0.9551066217732884,0.5,56,795,15,25
18,0.8064567445269785,0.9883554336229233,0.8194444444444444,0.7283950617283951,0.9839506172839506,0.8561728395061728,0.7513938118097552,0.7712418300653595,0.9607182940516273,0.5,59,797,13,22
19,0.8255814147428512,0.9767870751409846,0.875,0.691358024691358,0.9901234567901235,0.8407407407407408,0.7587458626968672,0.7724137931034484,0.9629629629629629,0.5,56,802,8,25
20,0.8190232851798774,0.9886450236244475,0.8333333333333334,0.6790123456790124,0.9864197530864197,0.832716049382716,0.7304488726499313,0.7482993197278912,0.9584736251402918,0.5,55,799,11,26
21,0.8978359643688976,0.9796982167352538,0.8852459016393442,0.6666666666666666,0.991358024691358,0.8290123456790124,0.7490714510059944,0.7605633802816901,0.9618406285072951,0.5,54,803,7,27
22,0.8787018713451441,0.980871818320378,0.8985507246376812,0.7654320987654321,0.991358024691358,0.8783950617283951,0.8139542972929977,0.8266666666666668,0.9708193041526375,0.5,62,803,7,19
23,0.721333387931761,0.9719250114311841,0.8,0.691358024691358,0.9827160493827161,0.837037037037037,0.7202313879105429,0.7417218543046357,0.9562289562289562,0.5,56,796,14,25
24,0.7837051335015054,0.9810394756896814,0.8333333333333334,0.7407407407407407,0.9851851851851852,0.8629629629629629,0.7657184771995426,0.7843137254901961,0.9629629629629629,0.5,60,798,12,21
25,0.8612438630755681,0.9820911446425851,0.8775510204081632,0.5308641975308642,0.9925925925925926,0.7617283950617284,0.6601030977548276,0.6615384615384615,0.9506172839506173,0.5,43,804,6,38
26,0.8587229560891187,0.9860996799268404,0.8709677419354839,0.6666666666666666,0.9901234567901235,0.828395061728395,0.74205914611553,0.7552447552447552,0.9607182940516273,0.5,54,802,8,27
27,0.8496060403511211,0.9898338667885993,0.8484848484848485,0.691358024691358,0.9876543209876543,0.8395061728395061,0.7453559924999299,0.7619047619047619,0.9607182940516273,0.5,56,800,10,25
28,0.8705601268376726,0.993796677335772,0.9032258064516129,0.691358024691358,0.9925925925925926,0.8419753086419752,0.7727458025338414,0.7832167832167831,0.9652076318742986,0.5,56,804,6,25
29,0.7768276370679917,0.9733424782807499,0.8194444444444444,0.7283950617283951,0.9839506172839506,0.8561728395061728,0.7513938118097552,0.7712418300653595,0.9607182940516273,0.5,59,797,13,22
30,0.8211528398337716,0.9811461667428745,0.8307692307692308,0.6666666666666666,0.9864197530864197,0.8265432098765432,0.7219530742269423,0.7397260273972603,0.957351290684624,0.5,54,799,11,27
31,0.7149351343697149,0.973083371437281,0.8194444444444444,0.7283950617283951,0.9839506172839506,0.8561728395061728,0.7513938118097552,0.7712418300653595,0.9607182940516273,0.5,59,797,13,22
32,0.815057524546745,0.9836457857033989,0.8571428571428571,0.6666666666666666,0.9888888888888889,0.8277777777777777,0.7352060597618595,0.75,0.9595959595959596,0.5,54,801,9,27
33,0.7903770979644715,0.966026520347508,0.8360655737704918,0.6296296296296297,0.9876543209876543,0.808641975308642,0.702693668861158,0.7183098591549297,0.9551066217732884,0.5,51,800,10,30
