trial_id,n_inner_folds,n_inner_oof_samples,n_inner_oof_edcs,n_inner_oof_non_edcs,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,batch_size,dropout,inner_oof_pr_auc,inner_oof_roc_auc,inner_oof_precision,inner_oof_recall,inner_oof_specificity,inner_oof_balanced_accuracy,inner_oof_mcc,inner_oof_f1_score,inner_oof_accuracy,inner_oof_threshold,inner_oof_tp,inner_oof_tn,inner_oof_fp,inner_oof_fn
30,10,715,65,650,20,100,80,0.00011402462807910907,0.0005029778847418198,100,0.5,0.8286474058376443,0.9784733727810653,0.88,0.3384615384615385,0.9953846153846154,0.666923076923077,0.5224746023922383,0.48888888888888893,0.9356643356643357,0.5,22,647,3,43
31,10,715,65,650,50,30,20,0.0006988704313864339,0.0005015424186648699,300,0.5,0.8073800870795835,0.9736094674556214,0.8918918918918919,0.5076923076923077,0.9938461538461538,0.7507692307692307,0.6508814450459182,0.6470588235294117,0.9496503496503497,0.5,33,646,4,32
32,10,715,65,650,60,60,60,0.0007923014863077,0.0004801188015557557,100,0.5,0.8551139110994326,0.9712189349112427,0.88,0.676923076923077,0.9907692307692307,0.8338461538461539,0.7526514535469362,0.7652173913043478,0.9622377622377623,0.5,44,644,6,21
33,10,715,65,650,30,80,100,0.0009214741314822198,0.0004972743309274203,300,0.5,0.8192493922358914,0.9812781065088758,0.8269230769230769,0.6615384615384615,0.9861538461538462,0.8238461538461539,0.7170074361776541,0.7350427350427349,0.9566433566433566,0.5,43,641,9,22
34,10,715,65,650,80,60,50,0.000992686114796795,0.0005082695800564698,50,0.5,0.8310650396508091,0.980923076923077,0.8775510204081632,0.6615384615384615,0.9907692307692307,0.8261538461538461,0.7422166661137488,0.7543859649122807,0.9608391608391609,0.5,43,644,6,22
35,10,715,65,650,50,50,40,0.0008456521232816646,0.0004947044817551744,300,0.5,0.846742583830781,0.9799408284023668,0.8846153846153846,0.7076923076923077,0.9907692307692307,0.8492307692307692,0.7732099192984678,0.7863247863247863,0.965034965034965,0.5,46,644,6,19
36,10,715,65,650,30,20,100,0.0005093983497994914,0.0004999015693916831,200,0.5,0.8505498960607307,0.9747218934911243,0.8723404255319149,0.6307692307692307,0.9907692307692307,0.8107692307692307,0.7210148423256394,0.7321428571428572,0.958041958041958,0.5,41,644,6,24
37,10,715,65,650,40,100,60,0.0008653167153034539,0.0005044049783567796,20,0.5,0.8249143451087719,0.9701420118343196,0.8771929824561403,0.7692307692307693,0.9892307692307692,0.8792307692307693,0.805001231272034,0.819672131147541,0.9692307692307692,0.5,50,643,7,15
38,10,715,65,650,10,60,80,0.0009023926752275475,0.0005015383195800516,20,0.5,0.8372733460819982,0.9755384615384615,0.8771929824561403,0.7692307692307693,0.9892307692307692,0.8792307692307693,0.805001231272034,0.819672131147541,0.9692307692307692,0.5,50,643,7,15
39,10,715,65,650,50,30,40,0.0006258287417616427,0.0004946851691579328,20,0.5,0.8166960366247887,0.9777988165680473,0.8392857142857143,0.7230769230769231,0.9861538461538462,0.8546153846153846,0.7588644436762093,0.7768595041322314,0.9622377622377623,0.5,47,641,9,18
40,10,715,65,650,30,10,100,0.00029784528273141286,0.0004961398460208261,50,0.5,0.8402290226122319,0.9755621301775147,0.8867924528301887,0.7230769230769231,0.9907692307692307,0.8569230769230769,0.7833413480467569,0.7966101694915254,0.9664335664335665,0.5,47,644,6,18
41,10,715,65,650,40,30,40,0.00030275527522312476,0.0004901037177094274,300,0.5,0.6439354712409446,0.9190177514792899,0.8,0.06153846153846154,0.9984615384615385,0.53,0.20699050804936736,0.1142857142857143,0.9132867132867133,0.5,4,649,1,61
42,10,715,65,650,60,30,10,0.00036775418198966176,0.0005067184868455402,100,0.5,0.8341014452485541,0.9713727810650888,0.8780487804878049,0.5538461538461539,0.9923076923076923,0.7730769230769231,0.6753151245740528,0.6792452830188679,0.9524475524475524,0.5,36,645,5,29
43,10,715,65,650,60,30,20,0.00024650059909164953,0.0004910243990408136,20,0.5,0.8329932152246625,0.9738816568047337,0.88,0.676923076923077,0.9907692307692307,0.8338461538461539,0.7526514535469362,0.7652173913043478,0.9622377622377623,0.5,44,644,6,21
44,10,715,65,650,80,80,60,0.00043198794000794854,0.0004947701681298424,200,0.5,0.8404754437677945,0.9786035502958581,0.875,0.6461538461538462,0.9907692307692307,0.8184615384615385,0.731672623231324,0.7433628318584071,0.9594405594405594,0.5,42,644,6,23
45,10,715,65,650,100,30,60,0.00013906272182275239,0.0005066496522481127,20,0.5,0.8326724604042234,0.9782958579881658,0.8775510204081632,0.6615384615384615,0.9907692307692307,0.8261538461538461,0.7422166661137488,0.7543859649122807,0.9608391608391609,0.5,43,644,6,22
46,10,715,65,650,80,60,50,0.0001833995263777296,0.0004970773812271389,300,0.5,0.5223277553544581,0.8603076923076922,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
47,10,715,65,650,20,40,60,0.00016184738071773832,0.0005224252348370796,200,0.5,0.6492082256464461,0.8697869822485208,1.0,0.046153846153846156,1.0,0.5230769230769231,0.20526770681398998,0.08823529411764706,0.9132867132867133,0.5,3,650,0,62
48,10,715,65,650,50,50,80,0.00022934276433305187,0.0005027841280615251,300,0.5,0.624454507132253,0.9024260355029585,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
49,10,715,65,650,30,100,40,0.0008153174237371214,0.0004924629241766376,50,0.5,0.8452058102192854,0.976355029585799,0.8823529411764706,0.6923076923076923,0.9907692307692307,0.8415384615384616,0.7629812094736815,0.7758620689655172,0.9636363636363636,0.5,45,644,6,20
50,10,715,65,650,40,80,20,0.0004751948805760719,0.0004999257912292843,100,0.5,0.8242030509444329,0.9748994082840237,0.8695652173913043,0.6153846153846154,0.9907692307692307,0.803076923076923,0.7102385599107828,0.7207207207207207,0.9566433566433566,0.5,40,644,6,25
51,10,715,65,650,40,40,60,0.0006904019125763234,0.0004976287433920331,300,0.5,0.838147091547686,0.9711834319526629,0.8979591836734694,0.676923076923077,0.9923076923076923,0.8346153846153846,0.7614722871685866,0.7719298245614036,0.9636363636363636,0.5,44,645,5,21
52,10,715,65,650,20,20,20,0.0002697869571413696,0.0004840710531794717,20,0.5,0.8387510154171689,0.9723313609467457,0.8823529411764706,0.6923076923076923,0.9907692307692307,0.8415384615384616,0.7629812094736815,0.7758620689655172,0.9636363636363636,0.5,45,644,6,20
53,10,715,65,650,60,40,10,0.0008554195386591387,0.0005049010751304965,100,0.5,0.8419372775489268,0.9765562130177516,0.8723404255319149,0.6307692307692307,0.9907692307692307,0.8107692307692307,0.7210148423256394,0.7321428571428572,0.958041958041958,0.5,41,644,6,24
54,10,715,65,650,20,30,60,0.00022356311020365423,0.0004973799584019508,200,0.5,0.5687584560547372,0.8228520710059171,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
55,10,715,65,650,50,80,40,0.00024730807962920244,0.0004906883951307414,200,0.5,0.8605236377391997,0.9804615384615385,0.9142857142857143,0.49230769230769234,0.9953846153846154,0.7438461538461538,0.6497866488899493,0.64,0.9496503496503497,0.5,32,647,3,33
56,10,715,65,650,60,40,20,0.0008256625479449572,0.0005114325530826244,100,0.5,0.8458337815069005,0.9816568047337279,0.8627450980392157,0.676923076923077,0.9892307692307692,0.833076923076923,0.7440785218515859,0.7586206896551724,0.9608391608391609,0.5,44,643,7,21
57,10,715,65,650,50,30,80,0.00046034878674705776,0.000513884019865636,200,0.5,0.8032883867794797,0.9669704142011833,0.9024390243902439,0.5692307692307692,0.9938461538461538,0.7815384615384615,0.6962403819552206,0.6981132075471698,0.9552447552447553,0.5,37,646,4,28
58,10,715,65,650,10,20,50,0.0006380150843341059,0.0005046981339830515,20,0.5,0.8311292975602805,0.9747692307692308,0.8571428571428571,0.7384615384615385,0.9876923076923076,0.8630769230769231,0.7769718382107826,0.793388429752066,0.965034965034965,0.5,48,642,8,17
59,10,715,65,650,50,40,30,0.0009124123013863271,0.0004993316427887046,20,0.5,0.8474657729200346,0.9770887573964497,0.8596491228070176,0.7538461538461538,0.9876923076923076,0.8707692307692307,0.7870397433531854,0.8032786885245902,0.9664335664335665,0.5,49,642,8,16
60,10,715,65,650,50,30,10,0.00044188412448500485,0.000515967657056066,200,0.5,0.8087279583472248,0.9613254437869823,0.92,0.35384615384615387,0.9969230769230769,0.6753846153846154,0.5489594900711076,0.5111111111111112,0.9384615384615385,0.5,23,648,2,42
61,10,715,65,650,30,30,80,0.0005932638753344341,0.0005016508488539,200,0.5,0.8475373556919057,0.9783668639053255,0.9019607843137255,0.7076923076923077,0.9923076923076923,0.8500000000000001,0.7818838970957773,0.7931034482758621,0.9664335664335665,0.5,46,645,5,19
62,10,715,65,650,80,100,20,0.0009079131270858375,0.0004957269673321594,50,0.5,0.8252922336555988,0.9797041420118343,0.8571428571428571,0.7384615384615385,0.9876923076923076,0.8630769230769231,0.7769718382107826,0.793388429752066,0.965034965034965,0.5,48,642,8,17
63,10,715,65,650,10,60,80,0.000721873711693345,0.0004983191222210975,200,0.5,0.848839213910297,0.9777633136094674,0.9,0.6923076923076923,0.9923076923076923,0.8423076923076923,0.7717278728764668,0.7826086956521738,0.965034965034965,0.5,45,645,5,20
64,10,715,65,650,100,20,40,0.0002708146416256993,0.0004906786666383559,200,0.5,0.8375418367827641,0.9750295857988166,0.9090909090909091,0.3076923076923077,0.9969230769230769,0.6523076923076923,0.50709255283711,0.45977011494252884,0.9342657342657342,0.5,20,648,2,45
65,10,715,65,650,60,50,60,0.00044732543173213923,0.0004998730332195959,300,0.5,0.8406144678623817,0.9699881656804734,0.9090909090909091,0.6153846153846154,0.9938461538461538,0.8046153846153846,0.7287986971610243,0.7339449541284404,0.9594405594405594,0.5,40,646,4,25
66,10,715,65,650,50,60,80,0.0008227885762177713,0.0004987571554494441,50,0.5,0.8319832145576754,0.9782011834319526,0.8703703703703703,0.7230769230769231,0.9892307692307692,0.8561538461538462,0.774967306547374,0.7899159663865546,0.965034965034965,0.5,47,643,7,18
67,10,715,65,650,50,50,60,0.00020239304495815903,0.0004983179041475398,300,0.5,0.7237862483736673,0.9337159763313609,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
68,10,715,65,650,10,60,50,0.00047962527962159776,0.0004976151179230504,100,0.5,0.8416227699606647,0.9787928994082841,0.8775510204081632,0.6615384615384615,0.9907692307692307,0.8261538461538461,0.7422166661137488,0.7543859649122807,0.9608391608391609,0.5,43,644,6,22
69,10,715,65,650,10,40,60,0.00027220998822711254,0.0004998299536490992,20,0.5,0.80364783507936,0.9677988165680473,0.8666666666666667,0.6,0.9907692307692307,0.7953846153846154,0.6993387068264358,0.7090909090909091,0.9552447552447553,0.5,39,644,6,26
70,10,715,65,650,80,30,40,0.0004637793208751745,0.0005107384420868677,300,0.5,0.8396459630805725,0.9729467455621301,0.92,0.35384615384615387,0.9969230769230769,0.6753846153846154,0.5489594900711076,0.5111111111111112,0.9384615384615385,0.5,23,648,2,42
71,10,715,65,650,30,50,50,0.0009863577851061194,0.0004969094017028326,50,0.5,0.8292118616694316,0.976319526627219,0.8703703703703703,0.7230769230769231,0.9892307692307692,0.8561538461538462,0.774967306547374,0.7899159663865546,0.965034965034965,0.5,47,643,7,18
72,10,715,65,650,80,80,20,0.00034844552080346016,0.0004961091529267085,200,0.5,0.8273147080054093,0.9756804733727811,0.8979591836734694,0.676923076923077,0.9923076923076923,0.8346153846153846,0.7614722871685866,0.7719298245614036,0.9636363636363636,0.5,44,645,5,21
73,10,715,65,650,60,30,10,0.00012753049526936013,0.0004892328101766941,200,0.5,0.5316695237459581,0.7703550295857988,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
74,10,715,65,650,40,60,10,0.0006996841683368495,0.0004961903131375341,200,0.5,0.834835159947371,0.9753609467455622,0.8979591836734694,0.676923076923077,0.9923076923076923,0.8346153846153846,0.7614722871685866,0.7719298245614036,0.9636363636363636,0.5,44,645,5,21
75,10,715,65,650,80,20,50,0.00022186973515307484,0.0004809828898584808,100,0.5,0.8568849779525413,0.9767100591715977,0.9166666666666666,0.5076923076923077,0.9953846153846154,0.7515384615384615,0.6613960777953874,0.6534653465346535,0.951048951048951,0.5,33,647,3,32
76,10,715,65,650,40,30,20,0.0001746355481469191,0.0004983245949115462,200,0.5,0.6610699523985344,0.8435384615384616,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
77,10,715,65,650,30,10,40,0.00023645770200743258,0.0004885110709677272,20,0.5,0.8698521462003601,0.9775147928994083,0.8846153846153846,0.7076923076923077,0.9907692307692307,0.8492307692307692,0.7732099192984678,0.7863247863247863,0.965034965034965,0.5,46,644,6,19
78,10,715,65,650,80,60,60,0.0006422696048441723,0.0004948517114034378,100,0.5,0.8357670872225013,0.9781775147928994,0.8909090909090909,0.7538461538461538,0.9907692307692307,0.8723076923076922,0.8033264176742436,0.8166666666666667,0.9692307692307692,0.5,49,644,6,16
79,10,715,65,650,80,50,50,0.0006681757429349579,0.0005048561756354553,100,0.5,0.8245400178523602,0.9778698224852072,0.8275862068965517,0.7384615384615385,0.9846153846153847,0.8615384615384616,0.7613794948035653,0.7804878048780489,0.9622377622377623,0.5,48,640,10,17
80,10,715,65,650,30,20,60,0.0008675200225403347,0.0004917252619287565,50,0.5,0.84900014379978,0.9811360946745562,0.8727272727272727,0.7384615384615385,0.9892307692307692,0.8638461538461539,0.7850689990907381,0.8,0.9664335664335665,0.5,48,643,7,17
81,10,715,65,650,60,60,20,0.00045007500455180487,0.0005037603851271223,50,0.5,0.8444985051335515,0.980284023668639,0.8307692307692308,0.8307692307692308,0.9830769230769231,0.9069230769230769,0.8138461538461539,0.8307692307692308,0.9692307692307692,0.5,54,639,11,11
82,10,715,65,650,10,20,80,0.00043720423464854583,0.0004935100897687044,50,0.5,0.8507121658050231,0.9764970414201183,0.8703703703703703,0.7230769230769231,0.9892307692307692,0.8561538461538462,0.774967306547374,0.7899159663865546,0.965034965034965,0.5,47,643,7,18
83,10,715,65,650,40,20,10,0.0009311151518576577,0.0004926979205492536,50,0.5,0.836259573248234,0.9747100591715977,0.8461538461538461,0.676923076923077,0.9876923076923076,0.8323076923076923,0.7357415972179253,0.7521367521367521,0.9594405594405594,0.5,44,642,8,21
84,10,715,65,650,20,50,100,0.0005835296694668841,0.0004962394437490597,100,0.5,0.8389411100470505,0.9790295857988167,0.8958333333333334,0.6615384615384615,0.9923076923076923,0.8269230769230769,0.7511132001770838,0.7610619469026548,0.9622377622377623,0.5,43,645,5,22
85,10,715,65,650,20,50,80,0.0006604077820026486,0.0004980525232096034,300,0.5,0.803806940391592,0.9676449704142012,0.8787878787878788,0.4461538461538462,0.9938461538461538,0.72,0.6028605644882188,0.5918367346938775,0.9440559440559441,0.5,29,646,4,36
86,10,715,65,650,10,30,80,0.0005505285976921684,0.0004933050687897267,20,0.5,0.8295776277993339,0.9750769230769232,0.8727272727272727,0.7384615384615385,0.9892307692307692,0.8638461538461539,0.7850689990907381,0.8,0.9664335664335665,0.5,48,643,7,17
87,10,715,65,650,60,10,40,0.0007350570684571588,0.0005000223891702862,100,0.5,0.8558660807105439,0.9752189349112427,0.8727272727272727,0.7384615384615385,0.9892307692307692,0.8638461538461539,0.7850689990907381,0.8,0.9664335664335665,0.5,48,643,7,17
88,10,715,65,650,50,100,50,0.0006141762210623987,0.0004940007174691852,20,0.5,0.8334077485721801,0.9771834319526627,0.8571428571428571,0.7384615384615385,0.9876923076923076,0.8630769230769231,0.7769718382107826,0.793388429752066,0.965034965034965,0.5,48,642,8,17
89,10,715,65,650,60,10,20,0.0004814179710486647,0.0004997097457549745,300,0.5,0.5544879450770139,0.8461301775147929,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
90,10,715,65,650,20,10,50,0.00032845159617507974,0.0004901279465639264,50,0.5,0.7977353970762264,0.9698224852071006,0.8717948717948718,0.5230769230769231,0.9923076923076923,0.7576923076923077,0.6524378614865929,0.6538461538461539,0.9496503496503497,0.5,34,645,5,31
91,10,715,65,650,40,50,100,0.0007162378850072205,0.0005040261196391667,50,0.5,0.8385474385587907,0.9809112426035502,0.8666666666666667,0.8,0.9876923076923076,0.8938461538461538,0.8167209308450513,0.832,0.9706293706293706,0.5,52,642,8,13
92,10,715,65,650,30,20,10,0.0002665307955631828,0.00048227553416807826,300,0.5,0.31556452200786966,0.7467810650887574,0.0,0.0,1.0,0.5,0.0,0.0,0.9090909090909091,0.5,0,650,0,65
93,10,715,65,650,100,80,60,0.0008480083006492895,0.0004973078049410902,50,0.5,0.8496478711252303,0.975810650887574,0.8909090909090909,0.7538461538461538,0.9907692307692307,0.8723076923076922,0.8033264176742436,0.8166666666666667,0.9692307692307692,0.5,49,644,6,16
94,10,715,65,650,40,60,60,0.0008261832719250748,0.0004944466107429151,50,0.5,0.816354617187876,0.9717396449704142,0.8703703703703703,0.7230769230769231,0.9892307692307692,0.8561538461538462,0.774967306547374,0.7899159663865546,0.965034965034965,0.5,47,643,7,18
95,10,715,65,650,10,50,10,0.0008688258192067572,0.0005055176962600654,200,0.5,0.8751581455577584,0.9752781065088758,0.8974358974358975,0.5384615384615384,0.9938461538461538,0.7661538461538462,0.6738611942518242,0.673076923076923,0.9524475524475524,0.5,35,646,4,30
96,10,715,65,650,10,80,80,0.0005017681071810099,0.0004994104734684058,200,0.5,0.8302273319006591,0.9749585798816569,0.8913043478260869,0.6307692307692307,0.9923076923076923,0.8115384615384615,0.7300675552382412,0.7387387387387386,0.9594405594405594,0.5,41,645,5,24
97,10,715,65,650,20,60,40,0.0008858180121857242,0.0005056951291254651,100,0.5,0.8444611144915153,0.9757041420118344,0.875,0.6461538461538462,0.9907692307692307,0.8184615384615385,0.731672623231324,0.7433628318584071,0.9594405594405594,0.5,42,644,6,23
98,10,715,65,650,10,30,50,0.00052675569107276,0.0005166274483339189,50,0.5,0.8281102215951073,0.9781775147928995,0.8653846153846154,0.6923076923076923,0.9892307692307692,0.8407692307692307,0.7544757582581966,0.7692307692307693,0.9622377622377623,0.5,45,643,7,20
99,10,715,65,650,20,50,60,0.00046587204817894314,0.0005063858486734547,20,0.5,0.8374787953741666,0.9759526627218935,0.8846153846153846,0.7076923076923077,0.9907692307692307,0.8492307692307692,0.7732099192984678,0.7863247863247863,0.965034965034965,0.5,46,644,6,19
100,10,715,65,650,100,10,30,0.000910073081814316,0.0004992914589830287,50,0.5,0.7830053419448693,0.9682840236686391,0.8571428571428571,0.6461538461538462,0.9892307692307692,0.8176923076923077,0.722961045058911,0.736842105263158,0.958041958041958,0.5,42,643,7,23
