,nAtom,nH,nC,ATS1e,ATS6e,AATS0m,AATS0e,AATS5i,ATSC0v,MATS3e,MATS5p,GATS3m,GATS1p,nBonds2,nBondsS,Si,Mse,nHBAcc2,IC2,IC3,TIC0,TIC1,SIC5,CIC5,BIC5,MIC3,MIC4,MIC5,RotBtFrac,AMW
7,-0.05405544222866523,0.36808484754962495,-0.17946915261712026,-0.1307623042792258,-0.08169130410518634,-0.6553578729310003,-0.913614220084667,0.5927090704801232,-0.1382280803269419,-2.3372003052111254,-2.558340254023536,1.6229956630628368,0.7987520134875746,-0.08185509935171978,-0.01338387856397645,-0.033130324917488026,-0.9221772306779339,-0.8363325841045891,-0.671201325988489,-0.4204987646612999,-0.3010749875736182,-0.5166612146609191,-0.5119865859205096,1.7010749083050678,-0.4755332038963289,-0.5957364077808618,-0.7091724485888479,-0.798587952996163,1.2247365470840836,-0.8152040973154449
1,0.7736685168977708,0.4736829595515665,0.2587694758665455,0.8196173006100427,0.4883000589740306,0.058878517075710485,-0.0438471189051733,0.6841081656652399,0.9656478456432567,0.2078844625858898,0.3486974307046491,0.20338273447351918,-0.26631777480869395,0.7203248742951349,0.7478242147621869,0.7879451437465083,-0.02986293469198028,0.8205527240271441,0.11981659992915,0.14627782357247926,1.38802296331038,0.527995363204382,0.07890858117276105,1.0849531694267416,0.12623046806202443,0.874555285329061,1.0147938782520187,0.9294088481346044,1.0448100579398312,0.0493161358638844
5,0.9510379367105786,1.0016735195612743,1.135246732833877,0.9282177982044955,0.30234920362208684,-0.589384738410186,-0.7184996034241953,0.6104113576123426,0.9192073911591653,-0.04545980712928567,0.5223230761294881,0.47111676747312026,-0.45498758931679295,0.9495191524799506,0.9234876209143784,0.9444311811877021,-0.7149633680161878,0.26825762131656633,1.6203336011120897,1.328727522169824,0.6724235074976342,1.2632485757145497,1.1234372409293805,-1.17150279061127,1.130332059623934,0.5524692917165914,0.6846730236956851,0.8927178322846999,-0.2946426915397332,-0.6193709171204986
20,-1.1182719611055116,-1.1102887204775571,-1.0559464095844517,-1.147175245455616,-0.6572628180068465,2.2699371440556164,0.5983952962548365,-1.5721237456097623,-0.985042905867214,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,-0.0031526097929475195,-1.1132293511833902,-1.0673643154771257,-1.137680054644524,0.4966163009302506,-1.3886276868151668,-1.9823541270299752,-1.6249889717529267,-1.0691803853361195,-1.0481769941401864,-1.3578984259824851,-0.2993815825175998,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,1.2247365470840836,2.446040918251819
34,-0.4087942818542807,-0.26550382446202453,-0.03338960978923169,-0.4330268287290769,-0.6092985251817081,-0.6168421701879815,-1.0232428763953183,0.7328481293643772,-0.2731175370748171,-1.4289306715704617,1.096095965483392,0.8438954183925165,-1.2051996462901382,-0.3683479470827393,-0.30615622215096233,-0.42359967759493083,-1.0161589889929084,-1.3886276868151668,-0.10850498981644256,0.11202214853467524,-0.6159581942191801,-0.48228036314023115,0.6793791788443219,-0.7265152791223419,0.6183466085727108,-0.4235896225582548,-0.36833831876994966,-0.18972827712363408,-1.7054948441322795,-0.6654581643400865
8,-0.05405544222866523,0.36808484754962495,-0.17946915261712026,-0.1307623042792258,-0.22558418258060137,-0.6553578729310003,-0.913614220084667,0.6627786005833852,-0.1382280803269419,-2.5634773849604895,-1.4443516070400384,2.1677470367332266,0.7987520134875746,-0.08185509935171978,-0.01338387856397645,-0.033130324917488026,-0.9221772306779339,-0.8363325841045891,-0.43430056723176796,0.0643006422477619,-0.3010749875736182,-0.4760577504992076,-0.09035048484221035,0.9121044166386288,-0.028731125377579554,-0.3764934755059875,-0.4844602121536719,-0.6437954207665908,1.2247365470840836,-0.8152040973154449
18,-0.3496711419166781,-0.3711019364639661,-0.4716282382728974,-0.2925838660669794,-0.5351315168317258,-0.49135030376599376,0.09057936670458372,0.8335953585615276,-0.5049061048426934,-0.8010251781129585,0.5539731931411925,0.634385889673582,-0.6308838389710845,-0.3683479470827393,-0.4232651595857567,-0.3230061813704859,0.1004510240541994,1.3728478267377218,0.8489003846513077,0.838578871520147,-0.11815861221551231,-0.10434490185208833,0.8538614090956796,-0.985812118264417,0.8849292747034244,0.6319964319644497,0.6770611238816473,0.4732673944898457,0.3700857245035359,-0.4098127370752198
12,-1.059148821167909,-1.0046906084756155,-0.9098668667565631,-1.054382804376295,-0.6572628180068465,-0.3473012032612637,1.035622519041905,-1.5721237456097623,-1.0525742171385513,0.3949990077948773,-0.05497694003007333,-1.6704920651527908,1.1299502063421503,-1.0559307816371863,-1.0673643154771257,-1.0539198691518328,1.0436934620477498,-0.28403748139401136,-0.9295109215864644,-1.6249889717529267,-0.948596752721166,-0.9416921254718424,-1.3578984259824851,0.2303765645407407,-1.3719345473542972,-1.4488769146707248,-1.366599409810342,-1.2158937044021687,-0.48456509807701176,-0.06525925571882944
23,0.005067697708937346,-0.15990571246008295,0.6970081043502112,0.03668008718868521,-0.16653125591255816,-0.5529080859450666,-0.7829637605088022,0.4700615989448264,0.06824717163127593,0.41157344384046357,-0.34126486823478286,0.18928989435474594,-1.599979417548857,0.09004060928689195,0.1622795275882151,-0.0351323153556292,-0.7661203292599261,-0.8363325841045891,-0.19794665904412553,0.5061309752375054,-0.184668490196327,-0.31134678108682046,0.8941590741593487,-0.9088470330368172,0.772758885500609,0.232133829418951,0.23373890213919113,0.47463303440555493,-1.7054948441322795,-0.48378884118163096
22,-0.4679174217918833,-1.1102887204775571,-1.0559464095844517,-0.5965052440691561,-0.6572628180068465,2.3322157767132836,0.8328240815788923,0.6513981902254988,-0.3562414570146219,0.16663707872800235,1.7867397087914711,0.02439135050095742,0.5978709084556478,-0.48294508617514714,-0.4232651595857567,-0.5414014407895709,0.7601515787463772,-1.3886276868151668,-0.6047768176509694,-0.3729045762401319,-0.7225358089588839,-0.7775792582826832,-0.945638090199079,1.8686140532717948,-0.9296489494259745,2.2733286778312656,1.720689776842326,0.005580748620948874,1.2247365470840836,2.485133090088121
