,nHeavyAtom,nBonds,CrippenMR,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MDEO-11,MLFER_BH,MLFER_S,MLFER_E,MLFER_L,TPC,piPC1,piPC2,piPC3,piPC5,piPC6,TpiPC,GGI4,GGI5,TopoPSA,MWC5,MWC9,SRW6,WTPT-1,WTPT-3,WTPT-4,Zagreb
1170,1.7410256682676541,1.5034598545122486,2.2376417457770774,0.9109427095560908,0.8756581773422891,0.8850181606358706,0.7342818918972409,-0.24242851767920703,-0.3186937923659925,-0.3174198919637153,-0.4583396667771459,-0.8057602559122671,1.4198325239788503,0.1820222309800605,1.0530123583492608,0.6515932327543746,0.437262396289181,0.272955576911422,0.3173184524252894,0.2597221722084767,0.06391518009575467,0.2648549773648496,-0.2032272278496057,0.6809363744685365,0.5122311943914947,0.7161254978050818,1.6615195409724386,0.031672502340771014,0.39879183383753103,1.1493590203971387
847,-0.08838200366938356,-0.16918781683012973,0.10325317693268891,-0.27381386729976287,-0.23182272698207895,-0.271310201274971,-0.11220687145536232,-0.38672793583339066,-0.42937846036048505,-0.5857000856489127,-0.5869212609057832,-0.6315721762018637,-0.16283276686245846,-0.3999952092933358,0.10102577434968488,-0.12380996233979559,-0.1238098584530117,-0.41140784282935355,-0.3818483175319911,-0.345313177653589,-0.5816321250692751,-0.515394735442258,-0.5305540819324389,-0.008553755346787591,-0.1037260431487831,0.011859880163791926,-0.1169332218269511,-0.5879789025253589,-0.2990375211746453,-0.28513956178380634
1391,-0.5626728815789859,-0.5408872993506583,-0.5213410366294569,-0.4728879283427011,-0.4990082553849607,-0.46560748361489757,-0.42513194662294007,-0.4187588832594026,-0.42937846036048505,-0.40015300558519834,-0.290455774065793,-0.2808965041776197,-0.5274614072078264,-0.44324491292299373,-0.14759999446378327,0.007762350008077048,0.2588292435071576,0.4670133934203652,0.4513704313035392,0.057006912286204914,-0.4345907946276704,-0.36097031348159336,-0.5305540819324389,-0.037317045260331125,0.042099570670772316,-0.0703506712164053,-0.5507174195637787,-0.6016946278340728,-0.32455813736474537,-0.536805979710288
533,0.4536647139415906,0.5122612344575059,0.6244469657272279,0.09061331719256414,0.033097167773245256,0.08437255868927442,0.3525400560804296,0.23798230879859483,-0.42937846036048505,-0.4708376075142325,0.1326504526518362,0.6107395078053355,0.5474427907290463,0.2870572255092297,0.8161771396585169,0.8623589856835672,0.9199300650852017,1.020077617046429,0.9691689204922382,1.0464455486677162,0.21454288490323956,0.31362058485418426,-0.6281298437578918,0.6414712114514394,0.6023957500406101,0.6198204746978243,0.4953465349575042,-0.21784178591889894,-0.21838946222897979,0.46985969199563843
967,-0.6981845609817294,-0.6647871268575011,-0.8213576491392487,-0.5264989137945396,-0.5469573164031994,-0.5179320743602784,-0.5823373925287919,-0.42932909590998647,0.11142148141638848,-0.33750074478446357,-0.42583035807292435,-0.3975967688020812,-0.619291905444648,-0.4902017340066223,-0.4681343575846659,-0.40458404033042766,-0.31844924964579713,-0.28145813162863276,-0.4450755487365058,-0.5676110197532842,-0.44445332272170623,-0.7104571642292222,0.003747889389843606,-0.135107408335975,-0.011440922889803284,-0.2026737660264245,-0.6868161005698814,-0.27629085032269424,-0.07248125910082623,-0.6374725468808806
374,0.7246880727470776,0.5742111482109273,0.9170396337084491,0.15309611317039004,0.2530482386233581,0.14535608116278656,0.25440700317900916,-0.3223457315071067,-0.2466421001325335,0.3757711474085167,-0.10753026090920327,-0.575234117417641,0.5371823998645969,-0.15779686896725156,0.658987855786662,0.5595524868646243,0.2862883553512518,-0.03734848917893259,0.02885495541728282,0.025418537352548874,0.1284699106122577,0.45991740615181376,0.11825005887889556,0.5750641637811583,0.4678655310912015,0.6573308064249509,0.626048512202071,0.5644598506605497,-0.05376878312698586,0.5956929009588792
826,-0.6981845609817294,-0.7267370406109225,-1.2835916954658284,-0.5676791074256994,-0.5879591549318499,-0.5581241499155652,-0.8546886155136995,-0.4344006625857717,2.8567306707528455,1.0890430396014972,0.16710061560705608,-0.4274904326467709,-0.6248068655342895,-0.5260372027283389,-0.5650821309271982,-0.25362806873731264,-0.7874174560373148,-1.7363524249211,-1.5783647837246009,-0.7924309949465627,-0.7752963166187841,-0.7104571642292222,1.07409425635272,-0.24150494157774377,-0.11065465734249096,-0.13565071021964006,-0.7283308976110647,0.5485347495098085,1.059029354142748,-0.6374725468808806
1394,-0.9014520800858448,-0.9125867818711868,-0.940977287835543,-0.6025641945805035,-0.6269409103998665,-0.5921721699719285,-0.971486449767487,-0.4507898306854145,-0.09732445704111525,-0.8427350017544913,-0.731029689042407,-0.6252485165424102,-0.951472059681195,-0.5556941423601043,-0.9199021693811547,-0.8089299362814136,-0.7161328377521765,-1.7363524249211,-1.5783647837246009,-1.0770187218821248,-0.7752963166187841,-0.7104571642292222,-0.3584274510592228,-0.7769674907255774,-0.6772870145266205,-0.7238700572830011,-0.9115519538535513,-0.6361239144926562,-0.38862012393387035,-0.8891389648073622
315,0.04712967573335997,-0.0452879893232869,0.2334477358834793,-0.16678505364434673,-0.10554981112947731,-0.1668495424291819,0.08622204403421901,-0.3760509533580534,-0.09732445704111525,-0.85799644989826,-0.7387931060464001,-0.7028570669084314,-0.03881029228842715,-0.37651679875152155,0.15538760522631823,-0.16509905446396778,-0.2818685517046137,-0.3824369883268805,-0.3533328184279854,-0.33531022442271025,-0.646186855585778,-0.5804155454280376,-0.3584274510592228,-0.008553755346787591,-0.15761460805547936,0.0192058408733264,0.02149981854427547,-0.6288376746201205,-0.37506274165399583,-0.20963963640586186
357,0.25039719483747525,0.38836140695066307,0.205316605119341,0.06300214258538338,0.06071560700327765,0.05742391393547122,0.4983601750839136,0.43016799335466627,-0.42937846036048505,0.2793830538689248,-0.17060802406664805,-0.11418184042838883,0.15177646801871897,0.4180420422161936,0.5150205949285305,0.413138586694861,0.437262396289181,0.45953010933662175,0.4607656910408671,0.43042773717824234,-0.18713099404543088,0.2973653823577394,-0.39837875150051155,0.6544019079085537,0.6421394092136127,0.6305287367160273,0.3356415303288119,-0.1291982420017805,0.5546078303565821,0.39435976661769395
1207,0.04712967573335997,-0.0452879893232869,0.13441965128602124,-0.21323916618506025,-0.17575861861032777,-0.21218898946374978,-0.052031931041365255,-0.37594418353329995,-0.29655685903273715,-0.31099401906107577,-0.3370362760897522,-0.6080021720166277,-0.0781845422307515,-0.3592169172996584,0.25674804357579023,0.025124568047309375,0.049349058802268184,0.014363833682659945,-0.06110257316312058,-0.09542147625547982,-0.3879679335197662,-0.38535311664107347,-0.2032272278496057,0.06676457054390092,-0.03333295289945106,0.08204758963218677,0.015107273582651093,-0.23078982574395673,0.365578102910721,-0.1844729946132137
413,-0.7659404006831012,-0.7267370406109225,-0.6855820328390412,-0.531247602631651,-0.5606924767562229,-0.5225668184860397,-0.5263057570585564,-0.4346675871476551,-0.29655685903273715,-0.1037596179509532,-0.2729880858068083,-0.060718172398463104,-0.46192316056115634,-0.505030203822505,-0.7886687218197451,-0.8089299362814136,-0.6516480567552055,-0.5106330360586148,-0.8672557495155808,-0.7924309949465627,-0.5314228904024247,-0.7104571642292222,0.2754416241665831,-0.30752442157953874,-0.2071820348324142,-0.32307121579371895,-0.7454476598599795,-0.2373123838971085,-0.34803950766158886,-0.7129724722588251
1549,-0.15613784337075534,-0.23113773058355117,-0.1445067435352807,-0.3150837519483896,-0.28120604556282985,-0.3115898159149603,-0.18605750360790696,-0.3919062723339293,-0.42937846036048505,-0.0772528922275653,-0.3176277335797692,-0.6074272938657682,-0.2803142422604033,-0.4135879732912283,0.043874963626948954,-0.16509905446396778,-0.1526047614539882,-0.4422490429888501,-0.41233191276627396,-0.3740546695102206,-0.5816321250692751,-0.515394735442258,-0.1859274435463685,-0.04414599847303881,-0.12629612401754525,-0.026079935521708564,-0.18325283379242907,-0.02132647985002245,0.7553229786743869,-0.33547284536910266
853,-0.08838200366938356,-0.10723790307670832,-0.004555723047794821,-0.25949431701073816,-0.2434935876041382,-0.25733424853016285,-0.0648546539865779,-0.38133605968334533,-0.42937846036048505,-0.3640074705078514,-0.28026628924805197,-0.26824918485871246,-0.1842513327919964,-0.2924888031281862,0.3041678173327054,0.30515047742071644,0.427972848324303,0.5890198852241318,0.6002756032006052,0.4723649309716825,-0.2732039683364129,-0.14152508153514914,-0.4156785358037488,0.2025284291962396,0.16956348472003288,0.20699760388099886,-0.09193844015224198,-0.4047486979925389,0.0418957958074884,-0.15930635282056554
163,2.147560706475885,2.122958992046463,1.486701355314727,1.9207595088756355,2.1108519032296544,1.8706044216204725,1.6719676057856128,1.477686744010009,4.344751605311278,3.428864010275091,3.917801455661269,2.9068028423378456,2.204367660451807,1.6796976823842142,1.595785547941947,1.6632366907144571,1.4582966928442476,1.477142681758215,1.581197982986758,1.7672425395488522,2.520581313281814,2.1829688567304784,3.8988129940956795,1.1611503747851204,1.029882556177225,1.1975645695495738,2.112090471531685,3.6869131763823173,2.865021524817322,2.256691259273658
228,2.215316546177257,2.3088087333067273,1.7534177191980684,2.1714374567811427,2.240380556740485,2.1152673565826063,1.9015030573697353,2.710611295349584,4.1188910629387765,2.3003200817490357,3.1050687380557314,3.1649231320737234,2.251308948656663,2.433478231358252,1.6731425476271558,1.7450397417830164,1.591216554886189,1.6250319278942031,1.7166422384928162,1.9404672215315322,3.0083281665214665,2.686880130609146,2.8214969298595562,1.242369349995557,1.1179207495705983,1.2537155104061715,2.249799059401633,2.845381264864999,1.9454802512723082,2.4580243936148434
1439,-0.08838200366938356,-0.16918781683012973,0.09637848505359158,-0.2575241981697766,-0.21310750058045122,-0.2554114028268382,-0.05833981991552791,-0.38667455092101394,-0.09732445704111525,-0.17685392221847707,-0.49036376191861786,-0.5884563148874075,-0.07177179794047057,-0.4037023267473065,0.043874963626948954,-0.25362806873731264,-0.35712138108993263,-0.4422490429888501,-0.41233191276627396,-0.3933729870388826,-0.646186855585778,-0.5804155454280376,-0.24392528157017093,-0.08187636027288529,-0.2104614057128458,-0.05799490396194477,-0.111139894496017,-0.4381244104521757,-0.37506425212959316,-0.3103062035764545
1063,-0.2238936830721271,-0.16918781683012973,-0.1242891871286842,-0.25395410970459953,-0.2384461147516191,-0.2519269784081548,0.11180478494455354,-0.2158962162279938,-0.42937846036048505,-0.4571826275961236,-0.21088074977486274,0.0013686678943539423,-0.21823887753048488,-0.2961959205821569,0.3041678173327054,0.34255895379567175,0.49047061482362,0.6314814046127661,0.3584660473152371,0.3696704587927816,-0.5959776209189278,-0.6291811529173722,-0.6281298437578918,0.16100201921135793,0.12693362681716872,0.15186695382845544,-0.1798674719736126,-0.5416603652935789,-0.21285340880924838,-0.23480627819851002
