,ATS2e,AATS1m,AATS2m,AATS0v,AATS1v,AATS1e,AATS0p,AATS0i,ATSC0c,ATSC1c,ATSC1m,ATSC1v,ATSC3p,AATSC0c,AATSC0m,AATSC0p,MATS1s,GATS1v,GATS2e,GATS6p,Mv,Mpe,Mp,fragC,TpiPC,topoRadius,TopoPSA,WTPT-3,WTPT-4,PubchemFP18
208,-0.2721500708785299,-0.2536653586421061,-0.37650667176387725,-0.17733467889211724,-0.39996884669274935,-0.22565077260007635,-0.1003289802579013,0.16348669259356527,-0.16059338028194892,0.158471685783955,-0.2544028497498987,-0.062260866318071754,0.24729982269889006,-0.1072457065290748,-0.18982225190541138,-0.07267897929903773,0.2274998701553733,0.7537240737651417,0.30499853909718727,0.44187859631099285,-0.51389052915757,-0.6269483169510597,-0.1833403492992259,-0.2672164926699053,-0.6986433054740454,-0.5167942481374898,-0.6043040135260451,-0.8877200389313699,-0.6040798387375069,0.4241393401869012
21,-0.43317650791143364,-0.07499543058990356,0.15765343924033595,-0.038128060459281965,0.14830829057451728,0.8006960638400525,-0.09752136491319298,0.26677180366881037,-0.1606901204694896,0.15887657638610128,-0.10286225494503429,0.2787149354409097,-0.22560980608479103,-0.10723258907949935,-0.1788468006967831,-0.07324939909543356,0.8393408631118815,-1.041333253368975,-0.6994135870306353,-0.860263215026296,0.2955706677045099,1.1517775851922485,-0.11853095840257563,-0.18337269976210357,1.0978817626577573,-0.2417462354056038,1.5034109729420333,1.4239208369750356,0.8883019080417032,0.4241393401869012
42,-0.9960815168085076,-0.08959958708269185,-0.014677391489284451,-0.07381612721718246,-0.13887592159140233,1.0013086205937554,-0.10051868590826289,0.337847691894141,-0.16051650772478177,0.15842407975571374,-0.17648287297200335,0.08441512089516308,0.4338056996578452,-0.10613317190574938,-0.15922126934224298,-0.07362075045906429,-0.23213362785907238,0.019924370250563476,0.9684894518648031,-1.3972065625744374,0.1578322468866843,1.6215160358433192,-0.17545027109427164,-0.32937296785774345,-1.6144793727548272,-1.0668902736012618,-0.2201705926018326,-0.6704602846017232,-0.35819606693462097,0.4241393401869012
96,-0.3918545549735494,-0.24302443237754526,-0.30438572557967775,-0.18266446400349654,-0.48511282142184214,-0.07029668113302033,-0.10088345145110855,0.3538159811350296,-0.160390396202077,0.1584363589446706,-0.21872672737074075,-0.539930618526882,-0.31111980696473324,-0.10714955659936878,-0.180818530166311,-0.07303210076372672,-0.13538754688961321,0.9821851836559117,1.2103103448558492,-1.3972065625744374,-0.5209066294432103,-0.497532826733267,-0.19107571213810914,-0.27748943264251963,-0.8208677524106771,-0.7918422608693758,-0.5417616877072287,-0.5771584525292923,-0.6116694811891549,0.4241393401869012
154,0.999477600192599,-0.23715379405665557,-0.33409010109178816,-0.1617990669160872,-0.3216607929990489,-0.2068834720056808,-0.0997232390503716,0.08825923302547456,-0.1599739762233483,0.15762809245421316,-0.1665491425131545,-0.6881986603216573,-0.06541513697739142,-0.1072739163608973,-0.18368484488958003,-0.07252865712136233,0.7383169036110478,0.614410888006123,-0.35080788413509395,0.24270532017009205,-0.43687015885800107,-0.5540068095196878,-0.17205861621428514,-0.11135835288337288,0.3192781020943489,0.8584458155219402,-0.30896525271496716,-0.22039143722725146,0.1511694439712871,0.4241393401869012
175,-0.849594278292596,-0.16379430211462162,-0.08829781632502821,-0.13778289830757814,-0.3148512439689981,0.8435097904451266,-0.10164169754316671,0.4283887143928736,-0.15987044893297953,0.15778291887411133,-0.26046732561362257,0.29368267183866775,0.42536261800525915,-0.10630044895814009,-0.1256609387385489,-0.07364905432551133,-0.9102476170296523,-0.49685917155787646,0.20621853762212683,-1.3972065625744374,-0.21072209105432385,0.7493731065016447,-0.2000722202209639,-0.3085157867012234,-1.1662173833006693,-0.7918422608693758,0.11570486086958934,-0.3930682584793332,-0.044257584119579294,0.4241393401869012
171,-0.4122631109998861,-0.20870452019292904,-0.25732324091391706,-0.1442111003874488,-0.35120814404940454,0.04891042178086085,-0.09961931878820707,0.20521480631047032,-0.16022556770490662,0.15821314157678446,-0.16088963721215127,-0.7761868458678692,-0.07500534779812114,-0.10709522618976935,-0.16355208441703842,-0.07276320647361094,0.4070593127465018,0.4740084170191206,0.8623818297301306,1.150322016428996,-0.32144614724575565,-0.21890659016716904,-0.16689592019750732,-0.2566322514859996,-0.4242171438076093,-0.2417462354056038,-0.4245913427318533,-0.24557492301841868,-0.24351799439403352,0.4241393401869012
169,-0.2207013793520096,-0.20867241555559474,-0.31396549047392686,-0.1680652804845012,-0.4296772530818372,0.2326202014294861,-0.10106943791215858,0.2947647362635876,-0.1594162339376505,0.15820713999098135,-0.15753783806730404,-0.8031491924613581,0.7577158176755012,-0.10691518078206377,-0.15427535257595487,-0.07311616447898428,0.30868126689605113,0.8265072472272125,2.4267112493418206,0.18835114238139172,-0.4266053114461998,-0.12388940596226149,-0.1941526179273985,-0.24615177737252442,-0.4875376768220409,0.03330177732628219,-0.06979876601893739,0.0480267488047671,0.45495178141193715,0.4241393401869012
59,-0.03309750583275664,-0.21782655618940341,-0.23399737426600029,-0.15577643651001463,-0.3116634755665827,0.05362479309249099,-0.10020433854169737,0.17355486037739964,-0.15944819898573365,0.15764063657836447,-0.2368907989704336,-0.08832168820377898,-2.5362794118721643,-0.10702497588632215,-0.1615050346597398,-0.07279754043987294,0.12045057666143667,0.36034840295165643,0.16804930950685681,0.2817711339752344,-0.3801581042064458,-0.22715301966608253,-0.17908369958210024,-0.21502165624339012,-0.16506673840711572,-0.2417462354056038,0.293873276705292,-0.04487995951666636,0.3498045950941104,0.4241393401869012
38,0.6194262417172435,-0.1515148912698588,-0.04626751084629976,-0.061691510606565504,0.15658516838094072,-0.23089405181267486,-0.09345501680024583,-0.4654351932113387,-0.16007711695451277,0.15853681968817512,0.27647020227548996,1.0798924309357645,-0.26593243158889274,-0.1072655393360948,-0.13994825205878775,-0.06994928611565489,0.1832363768034538,-0.8116688741007312,-0.1973971579874808,-0.3927160905960445,0.03184244547363203,-0.32423302657522274,-0.07857715076150572,1.248094036825922,1.9654988260723332,0.3083497900581682,0.18307298343368494,0.08724057511546698,0.04821628609545427,0.4241393401869012
