,nBondsM,SpMAD_Dt,fragC,MLFER_BH,MLFER_E,MLFER_L,MPC6,TPC,piPC1,piPC4,piPC5,TpiPC,R_TpiPCTPC,GGI4,MWC4,MWC5,MWC6,MWC7,MWC8,MWC9,SRW4,SRW6,SRW8,SRW10,TSRW,WTPT-1,WTPT-3,WTPT-4,WPOL,Zagreb
996,1.1135793898012158,0.3760121523762161,0.2092267864776478,0.16856133558525055,0.9368558940052174,0.6172822122583104,0.3539012388854829,0.2422801762769556,0.8494869714262009,0.9843459867323214,1.0282023487670013,1.0500866595623914,0.8452723115372474,0.5324096095435821,0.6586834401979874,0.6556703013373713,0.6440141820204034,0.642054491654859,0.6332488051229066,0.6321751504139341,0.6624730663222077,0.6426870262549599,0.624672146544437,0.6093899076424241,0.6088420939546925,0.45834848559790237,0.5110250017278897,0.24878606318827312,0.43206508707669544,0.4901221483235523
190,-0.3885500817579594,1.4371792997247161,-0.2309502751655185,0.2183631890361905,-0.4270786907198175,1.4229665335479713,0.48773695986005783,0.4029826624725566,1.1631036249634987,0.5535154217528354,0.5071688358006163,0.49004953378471205,-0.5506927032727479,1.161956993107583,0.9505858879530293,0.869059114645685,0.8269193361943386,0.7737018652822996,0.7495171632192972,0.7135459954281391,1.0977286430988065,0.9371048280859501,0.8207748176867649,0.7429968675037815,0.7590155466919483,1.9546175449039473,0.14457596114601723,0.39401176319652537,1.241268299724958,1.691800885811929
169,-0.6536317532095786,0.30914127391501783,-0.367320293191841,-0.398480820373698,-0.6998656076648245,0.31889004144096694,-0.39557879857213646,-0.32512321729058935,0.3632255078750232,-0.16886277937092725,-0.21891075097073667,-0.20103070412453258,-0.6767704422126736,-0.4713687190443232,0.2907425392485683,0.23144964244558555,0.19112364079167413,0.1499383615445828,0.12267135289057285,0.09316249546268664,0.41081138055668615,0.28902782641787006,0.19524176519226172,0.12678886016215818,0.13680399801963444,0.3121237107628524,-0.3982842603723915,-0.7322716776057975,-0.15644634030385907,0.08956256916076005
77,-0.5652711960590389,-0.24815366259210014,-0.419605071520796,0.39747511811413266,-0.24893213271491493,-0.29622555983437543,-0.48926380325433894,-0.4203085360372145,-0.0903758616789914,-0.289607279842363,-0.2804481551997487,-0.3207840855429104,-0.6423943154596833,-0.5413184284166493,0.04698575236206488,0.039542541097008777,0.04844159957125496,0.04126206286892494,0.046172867422774475,0.040198758896139025,0.04688527683935368,0.07240793328441503,0.08219733339379597,0.08299595544758827,0.0727721773963569,-0.38244602505178343,-0.09547032935424088,-0.12454887194520484,-0.5242659824167056,-0.3861019310950557
1087,-0.6536317532095786,-1.0835025516822823,-0.4772859742664668,-1.6548854741009213,-0.42262502676969493,-1.0821783169274972,-0.6632502405212862,-0.598317443823111,-1.3968671981702985,-1.9106184869746186,-1.6835040594735775,-1.4120995478632403,-0.6207864642281565,-0.7861424108263236,-1.3763128774265192,-1.4270902607912104,-1.3563019551604556,-1.3980201549072233,-1.3369641283375375,-1.3733076028383058,-1.3314184369047142,-1.2757686043593388,-1.2438477066991083,-1.2247698349341418,-1.232248210018991,-1.0650210572751795,-0.3473428120507609,-0.16894282144999398,-1.0024315171634062,-1.0370112472345931
837,-0.7419923103601183,-1.3188580128871532,-0.4931600101719511,-0.936690324334734,-0.6224831965314449,-1.215971052221451,-0.6632502405212862,-0.6094430005597296,-3.115088232573822,-1.9106184869746186,-1.6835040594735775,-2.2296919086207536,-0.6964139432864086,-0.7861424108263236,-3.8280986178660275,-3.84531016071951,-3.928443098947148,-3.928839183252461,-3.986263756121006,-3.979471525395825,-3.7605655169082346,-3.955473960910819,-4.058095251068487,-4.112424585542201,-4.134964395003382,-1.2551426534438477,-0.9011903815399943,-1.0686034748775661,-1.0024315171634062,-1.18722108942064
784,0.14161326114527892,0.02820236993489222,-0.22047236367674994,0.9400532057112158,0.38627168817131563,-0.004198409725593377,-0.1412909287204442,-0.191616536451167,0.40351673311048797,0.660998249205992,0.6941913019580438,0.6871709431740488,0.5902571053221487,-0.19156988155501878,0.3063164414389409,0.31892661355066554,0.3219558769386089,0.32819147958616285,0.32905836527368443,0.3325218713066153,0.2739474715434658,0.2960177899527431,0.31222656770991986,0.32189896990119005,0.31205391977330615,-0.15468336842424213,0.12717466876708003,-0.3938858130038971,-0.19322830451514372,-0.13575219411831058
425,-0.5652711960590389,-0.7782014132284321,-0.4406656736132208,-0.6754490228991012,-0.820671242311899,-0.825158780715801,-0.6498666684238288,-0.529091757461929,-0.3767720139005832,-0.4826065296569242,-0.5014574781823902,-0.6397292183143484,-0.6162029806947033,-0.4713687190443232,-0.05505471802102212,-0.04310932259415402,0.02302829135519227,0.023448303275005987,0.0729007749920699,0.06773865740687604,-0.13516746681259753,-0.0029218028567806163,0.07601382943025142,0.12583546426890543,0.10385346560063023,-0.624392695383522,-0.35113865391204324,-0.6889380170862608,-0.5610479466279903,-0.5613467469787773
196,0.9368582755001363,0.7832992500139678,0.8746265555718936,-0.47886275927696964,0.12628905508291097,0.5293176260659962,1.0766141321481872,0.8875624670008303,1.050621713285636,1.1585577534816025,1.1743844061076734,1.3543415854607783,1.1584310341158148,0.9241279809269004,0.9385573648340523,0.9151211473377222,0.8927771046466728,0.8739087388522896,0.8572870404468227,0.8426419491083096,0.9640545495614591,0.9108246009328682,0.8679654070560193,0.8337121740552627,0.8405352990701698,1.1286083396568962,0.5890747697217611,-0.2483912160510755,1.2780502639362425,1.2161363855561131
930,-0.7419923103601183,-0.8965913630204801,-0.4563825408463736,0.058473027956856743,-0.4287488147011135,-0.6601774439498979,-0.6632502405212862,-0.5661769465839908,-0.8950956683145936,-1.160485133914762,-1.6835040594735775,-1.0037632283314881,-0.6964139432864086,-0.7861424108263236,-0.4124696116039942,-0.3513663684454819,-0.31440388485520593,-0.274839793479594,-0.249754129189276,-0.22257102071822957,-0.5168295034933194,-0.33372538427979354,-0.20995596535758115,-0.13290728310172542,-0.16435407156081308,-0.8096895564146043,-0.4972544475464451,-0.431446618124627,-0.6713938392618443,-0.7866615102578479
187,-0.5652711960590389,-0.08127921683836947,-0.39351507191376234,-0.28839251274530436,-0.6547722601698336,-0.07688694621736085,-0.46249665905942394,-0.3918765577103005,0.1848801112679906,-0.26320658865635854,-0.21891075097073667,-0.27629244928004476,-0.6522623076623462,-0.34545924233152303,0.16663244078679082,0.14064811629788385,0.1162429110645031,0.1008094590995455,0.08443763449569845,0.07535078316948068,0.23586402327673192,0.17710572906600916,0.13213744540597744,0.10067360155595512,0.10005721321694708,-0.019955073956794415,-0.45420685146036505,-0.022085503475125445,-0.26679223293771304,-0.1607871678159851
881,-0.7419923103601183,-0.3833941470647993,-0.42505358549495564,-0.5985619509046676,-0.5590184852421983,-0.45598757961925857,-0.43572951486450895,-0.42772557386162685,-0.2976550271089808,-0.21398113785402567,-0.3029329057853473,-0.41846931174422525,-0.6964139432864086,-0.4005446383933732,0.11965169794448095,0.16935121768670386,0.19766494076853808,0.23314678203692218,0.25189060957363657,0.2783395006196497,0.030384828982331136,0.11627286286116975,0.1805145894494254,0.22893210926126056,0.24471306150739192,-0.45562459970464014,-0.8026958886203195,-0.7338086285190637,-0.41392008978285166,-0.41113690479273024
521,-0.12346841030634025,-0.4992162752973001,-0.4460094084724927,-0.6038042512679244,-0.22388027299547555,-0.6419734847234132,-0.5561816637416264,-0.5154938547838397,-0.2976550271089808,0.24659402814056314,0.3749226602092429,-0.10635151730025574,0.07357037410291305,-0.5168360302543754,-0.26184499318560034,-0.20755347656340656,-0.19100830049168646,-0.15359052598150982,-0.1448459942896555,-0.11763211332658186,-0.34250058382473364,-0.2396207398922177,-0.16010338659258472,-0.10391781492919479,-0.12918629557046626,-0.7062230059445023,-0.8026016495515476,-0.7336161629968363,-0.6713938392618443,-0.6865216154671498
219,-0.7419923103601183,-1.051146297397885,-0.47199462896463873,-1.062505533052898,-1.0233129520424755,-1.28878688912739,-0.6632502405212862,-0.5921365789694341,-1.3968671981702985,-1.9106184869746186,-1.6835040594735775,-1.3559950838022343,-0.6964139432864086,-0.7861424108263236,-0.8443011361990863,-0.9126628058000589,-0.7641155869396355,-0.8283713103778371,-0.708711588996774,-0.7681866222687096,-0.8759646837478265,-0.7057153983883652,-0.6104034169594823,-0.5542899548659548,-0.5834052881083461,-1.0063814301003768,-0.18140657677271574,-1.0686034748775661,-1.0024315171634062,-0.936871352443895
123,-0.5652711960590389,-0.32446657728671713,-0.4145756740061871,-0.5478863807265181,-0.4114908668943885,-0.3761702199339026,-0.3688116543772215,-0.3720977901785342,-0.029354067364539226,0.13703238619139543,0.10052333586479295,0.001665157374911154,-0.42081121296513097,-0.43595667871884813,0.2518397354564633,0.29664289959522494,0.3129286418728024,0.3445409126891785,0.3550234663152562,0.37877082884843416,0.18218689222470252,0.260313557846237,0.30938076866091063,0.34214317188013776,0.3604109047286891,-0.3334685972971188,-0.8113469820135327,-0.7514768549718763,-0.23001026872642838,-0.26092706260668314
138,1.5553821755539141,1.5410924125608165,0.8644105918703444,0.506689709015317,0.48647912704907337,1.5515399518609054,0.8223262622964951,0.7614728239858203,1.4357093924730675,1.09017907360035,1.0935615735330975,1.0888043478499323,0.2742025790924568,1.0850123127193307,1.0000098517849956,0.9342727864639921,0.8694970497356339,0.8262926587299395,0.7805096702048444,0.7514809500034987,1.1378714477081524,0.9734232782394707,0.8492632537069773,0.758638921495144,0.7774213554757585,2.092868102933458,1.5978363333948387,4.168825637238626,1.5723059776265198,1.842010727997976
971,2.4389877470593113,1.5804466695151629,2.185046555914731,3.475579148073109,3.081851793982997,2.4562639953757768,1.6253405881439444,1.5847640224955915,1.5763850553611216,1.3735175790439902,1.3779220250494992,1.5256641715773005,1.213275714883494,1.9523887076770796,1.1723726719175018,1.1125141981750155,1.0577568593693856,1.016378305111108,0.9745729179197451,0.9450484656514196,1.2813637434290985,1.1440907302935348,1.0372825830102752,0.9558207482928002,0.9745257595979059,2.407990316347945,3.165493122909019,2.247653592211586,2.197599369218359,2.3677451756491408
516,-0.6536317532095786,0.2781404897983163,-0.3621337270049006,-0.6238997359937423,-0.6842777838393955,0.37439302201961955,-0.355428082279764,-0.29298272005146914,0.40351673311048797,-0.10753985339754936,-0.1646309131805916,-0.15794059385544013,-0.6777768213620589,-0.4713687190443232,0.2812237987420605,0.23982131910061785,0.18268386200753517,0.15851647162885843,0.1189297361724724,0.10485592631160548,0.400234378607944,0.25540564320032444,0.15524145135673664,0.0888867110312675,0.09924952768796083,0.38691940352011844,-0.6502749237174673,-0.4225175579391936,-0.046100447670005096,0.08956256916076005
