,ATS2e,AATS1m,AATS2m,AATS0v,AATS1v,AATS1e,AATS0p,ATSC0c,ATSC1c,ATSC1v,ATSC3p,AATSC0c,AATSC0m,AATSC0p,MATS1e,MATS1s,GATS1v,nBondsM,Mv,Mpe,Mp,fragC,TPC,TpiPC,TopoPSA,VAdjMat,SRW2,WTPT-3,WTPT-4,PubchemFP352
179,-0.058072586521355565,-0.18719682781552774,-0.17814225770722802,-0.0951916966939599,-0.008359874638230654,-0.01845448973823707,-0.09725296305008366,-0.15996056825954513,0.15794980084991844,0.5617430697348496,0.07247771376105219,-0.10712205799689019,-0.16653666970146863,-0.0721614472355493,0.2839377576277363,0.5354869895721684,-0.6035697143482692,0.6709356507212508,-0.10189770778254642,-0.18840447124131604,-0.12570782751143186,0.15843603023579103,0.14473628372848468,0.9005545390008305,-0.09663019592268893,0.3828099837500325,0.47158517135056405,-0.2634400115528586,0.10244921109347258,0.6136311676215145
142,-0.16679091654661307,0.7862682918132567,0.27457335505127745,-0.030161151374367676,0.36485270784959845,-0.3362064622501414,-0.07180655306696818,6.795814276354172,-6.753321358304941,3.0033796795449854,0.3410277608568007,1.7112942993584268,1.68493767419818,-0.041034796586107404,-1.186837173816934,-0.9039912449227363,-0.4627983881938401,-0.7311132793669319,-0.06075114786052314,-0.4739665239135417,0.001506477795653443,-0.23577507032947964,-0.4024604905658256,-0.39504826338866805,-0.994807486154026,0.018695526959971228,0.006701550962415461,-0.03189174390347112,-0.9035671135315434,-1.6296434287653334
185,-0.6948718929497337,0.6809387563475658,1.200166279762943,0.04723583110986281,0.7209552986194617,1.0978066129757276,-0.07423795356457513,-0.15854084223074189,0.15592507032459374,-0.3133837156268083,-1.4484909036331601,-0.10518044569375223,-0.1549712076549999,-0.0497035540301418,-2.9223425677155577,-1.9792859410513064,3.3957522915180722,-0.33052787077030826,0.7234408303045948,2.648159267473311,0.04206030462317654,-0.2663863561064617,-0.49506302160024734,-0.5220947182713059,2.0016262289246427,-0.34541893070739427,-0.32799926891324077,1.3691812040314826,1.167844043218042,-1.6296434287653334
211,-0.45686262130976746,-0.21276229510510464,-0.2624329931625541,-0.14410081689039017,-0.26759557209402873,-0.08469017045808228,-0.0993104692134776,-0.1606967151339569,0.15845509102936164,-0.1356643050576645,0.3749029709385295,-0.1072161400899604,-0.17134932777632714,-0.07266089905200833,0.5039542241925936,0.7394930920692503,0.21268232812582535,-0.5308205750686201,-0.3309745959141024,-0.3433245940758064,-0.1616186359482493,-0.26711272559947485,-0.45297096203914655,-0.43175248770041175,-0.6027597585675559,-0.49449497704836753,-0.32799926891324077,-0.5261958030751841,-0.5953476872362894,0.6136311676215145
19,0.01799027736534111,-0.23003344392912314,-0.34713695483787543,-0.16988331161526385,-0.39167328042687233,-0.02316476322089585,-0.10050209431543165,-0.1597862089947234,0.1582774065651016,-0.5678118208433,0.7249996563074906,-0.10710930165436246,-0.1722364408222101,-0.07282248142132536,0.35842731248709697,0.4058885040938204,0.7483597028722355,-0.7311132793669319,-0.4595580650006908,-0.3985992290695379,-0.18531124536012486,-0.2255021303568653,-0.37439911752509175,-0.3281388492408761,-0.24796718185464003,0.12000426229326497,0.09902592699786417,-0.2439343873738981,0.12452470528378295,0.6136311676215145
219,-1.0534633563802034,-0.30126945821814777,-0.5543005840385847,-0.077179852715692,-0.8875283490253957,-0.05198720663587787,-0.07799659949608352,-0.16104755152770373,0.1586791967709087,-0.4401678639645125,0.4338056996578452,-0.1070482635595106,0.5157050369286523,-0.05506279790182609,-2.9223425677155577,0.7295381299523275,0.6040484922043615,-0.7311132793669319,-0.22871536867472347,-0.719499209611616,0.0326567760906323,-0.3502301490142634,-0.6185330629794763,-2.4588303143387877,-0.994807486154026,-3.1264098594435676,-3.4650777841540217,-1.0431769722172082,-0.9035671135315434,-1.6296434287653334
40,-0.8613795842745331,0.1280128988989482,0.15704190785304564,-0.07612132191711743,0.02094292197645411,1.005335589387635,-0.09276862320875624,-0.16021210545215583,0.15819647354047386,0.3022758844793821,0.5229446767701761,-0.10648504483247218,0.0851358299737699,-0.06600440502950118,-0.09641240373399433,-0.9274953567680781,-0.5248297812414293,-0.5308205750686201,0.03227151111428661,1.0119116384410147,-0.10859707310398645,-0.308412019630793,-0.5792471407224489,-1.1662173833006693,0.5411471019333903,-1.089370823082889,-1.0321985136031508,-0.08176733400979971,-0.044257584119579294,-1.6296434287653334
203,-0.5249450809563431,-0.23848251244142643,-0.36410670060261113,-0.17788857863326504,-0.4232863232370457,0.04796651748293749,-0.10106231523534061,-0.16012139891901597,0.15817356926394163,0.08646805092349352,0.3719120780292561,-0.10698658252353604,-0.1674103627620009,-0.0730341524343378,-0.049232586446179526,0.09048224734001478,0.5785475677545858,-0.7311132793669319,-0.48993975304505966,-0.3327181642607169,-0.19507455403677182,-0.28786613968556435,-0.5427673557694949,-0.957631017199277,-0.2138005408980643,-0.6635034596511622,-0.6250348563718219,-0.6280683002621182,-0.3102189299089781,0.6136311676215145
77,-0.451755698910443,-0.2112943701014478,-0.28064919401923033,-0.1536732955996462,-0.337884845207191,0.1278709997417454,-0.10037234154810579,-0.15995893301938965,0.1579727236756254,-0.22267182334411711,0.5540679994415059,-0.10696862304499566,-0.15496278110191725,-0.07289334171916213,0.17805391053012512,0.35795389804478295,0.41687049175629054,-0.5308205750686201,-0.36035389619760316,-0.11301360979644144,-0.18153690280576068,-0.2670089585290444,-0.49506302160024734,-0.6086310037746996,-0.09663019592268893,-0.34541893070739427,-0.32799926891324077,-0.3086864206013808,0.05124157831438712,0.6136311676215145
100,-0.37551999121046137,-0.07725239127408241,-0.020904781623563455,-0.08043988788873746,0.04945804629942632,0.07581439977354391,-0.09449410443101591,-0.16060845358477088,0.1583106769797868,0.3962666735260803,0.3231755329077749,-0.10722143222720924,-0.06892683224090498,-0.06990283163527036,1.0290846305792547,-0.47466612988146123,-0.563600484193207,0.8712283550195628,-0.041679912484190215,-0.09098385346455144,-0.09815483300466381,-0.2253983632864349,-0.27618431188252324,0.620414051449638,0.05818136366586297,0.018695526959971228,0.09902592699786417,0.062189357918852536,-0.2980938976947834,-1.6296434287653334
