,nHeavyAtom,nC,MATS4p,GATS1e,GATS1s,nBonds,nBonds2,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_BH,MLFER_S,MLFER_E,TPC,piPC2,TpiPC,GGI4,VAdjMat,MWC2,MWC5,MWC10,TWC,SRW2,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WPOL,Zagreb
902,-0.8710710633981839,-0.926871517625342,-0.12528699089955112,1.7505358345784958,1.6850752517575427,-0.8892488361153619,-0.7388517609586704,-0.6517154315014322,-0.6262162261859628,-0.9724875426968674,-0.4651694729410721,-0.5482459500260753,-0.7263034462723299,-0.8606836102713487,-0.5669605401779945,-1.055454068387652,-1.1849419284665512,-0.8102392928318753,-0.9242787218006391,-0.7515466404176215,-0.5685872106213709,-0.40091451690985935,-0.8206011172316544,-0.8924477517082423,-0.8856393682355554,-0.678991294860428,-0.4164717086181943,-0.33832757044612044,-0.8031571184365244,-0.8540915356083311
1607,-0.39479482945785466,-0.21272104127788563,0.06659382088977045,-0.38510418233632493,-0.42970411939744263,-0.45437869176586854,-0.09318272342123962,-0.5039317545184226,-0.4950931294553597,-0.6134160684296391,-0.4281140925375545,-0.5713695329229211,-0.6805297780686093,-0.7552978287414273,-0.473257007616482,-0.30654839122192595,-0.5655009535488045,-0.42213495503629433,-0.08049044225600817,-0.06279853146362431,-0.02006873720543443,0.0511814645943096,-0.30330563393152316,-0.11141138280940872,-0.4318686539765761,-0.22318769492926732,-0.6266813596367401,-0.33906174048294796,-0.466646414788202,-0.4498243152615842
609,-0.7349921394152327,-0.6590650889950459,0.9665328618655926,0.26662363479164375,0.5562284977776424,-0.765000223444078,-0.5349562754205344,-0.5902992844189809,-0.5801054313281881,-0.7563943907867656,-0.45462008710373303,-0.4714426211186948,-0.6372170597683143,-0.6470483031481928,-0.5462727472748033,-1.055454068387652,-0.9825260425433558,-0.6808711802333484,-0.618346338626868,-0.6318627184730924,-0.6419275962651995,-0.6411691535568669,-0.7726983352331662,-0.6057771933353482,-0.7452219225097167,-0.2848206863956558,-0.6246102181893708,-0.3351039590750118,-0.8031571184365244,-0.8035581330649877
679,0.6257971004142793,-0.12345223173445359,1.426850685152422,0.342152437924148,0.26349925425634896,0.4774859032687599,0.4165559904241005,-0.04328733423609326,-0.059123052727366524,-0.11336441106729286,-0.34785394099116596,2.0110391713069626,0.8826656005874866,-0.22779617227915802,-0.12521531524514998,0.41136981384403887,0.013190188449800038,0.6774940020511854,0.8060155243253938,0.6309148107298161,0.5483495385796148,0.49975585103292175,0.5893697164405491,0.6870721268150434,0.5507143400518281,0.06898706171864005,1.9529620450328242,1.8713818539834468,0.46810553979047115,0.4092435279752529
1452,0.4897181764313281,-0.03418342219102154,-1.2701294878847404,-0.37843923920842526,-0.5714700236101253,0.3532372905974761,0.17867792396294177,-0.09928096492169652,-0.11127204571506674,-0.13490930107854596,-0.35861537478503447,1.058843061304706,-0.050034412810908056,-0.3606738968168849,-0.17997711998889104,0.4329312597890036,0.02678091169609899,0.28938966425560436,0.7190264432346771,0.5561757351739512,0.40101069492724856,0.29666767091639057,0.4371762197493037,0.609320487948843,0.415199249068645,0.022076143532339134,1.261665985967706,2.0016163243771796,0.09420475795900189,0.2829100216168945
993,0.01344194249099894,0.32289181598270666,0.1855172139361071,0.42460929848830337,0.457753601297017,-0.08163285375201716,0.5864688950392138,-0.16048722893077866,-0.21372590582516476,-0.0088018607402624,-0.3963068990581403,-0.3979426611965779,-0.5368103037085399,-0.5771729480033537,-0.3929396939923285,-0.30654839122192595,-0.4038777700396358,-0.6161871239340848,0.35370037008948324,0.15295712934467784,-0.02636368888058939,-0.1816126223306325,-0.0529425437183984,0.28154433662582673,-0.013872210062761353,0.14613423534746833,-0.6475754424475194,-0.37898861876999834,-0.3544761802387612,-0.24769070508821076
631,0.4897181764313281,0.769235863699867,1.3507677932353528,-0.04677893229608883,0.2331705896196028,0.6017345159400437,0.6204514759622366,0.12368105016268933,0.11968570347839563,0.3681699707686278,0.5527137303893154,0.05296720529191482,-0.012627974278835313,0.23670311479022357,0.3213976256649159,0.8273132725294949,1.0084570386948346,0.2238072183753567,0.7190264432346771,0.7519033283014296,0.726001227128387,0.6611961787146775,0.6498608670527801,0.7595482786945696,0.5083682300995301,0.5746160340626815,-0.21069528261906087,0.45585352890728453,0.46810553979047115,0.636643839420298
1212,-0.9391105253896594,-1.1946779462556383,0.6806227834593882,1.4465045576926887,1.2746762699400014,-0.9513731424510037,-1.0107124083428518,-0.6634596347543855,-0.6380896813187248,-1.024951579036707,-0.4703646478760431,0.6946466306793848,-0.053479742675704295,-0.5319257918030071,-0.5754790431381319,-0.8672487147763924,-1.216294629286079,-0.8102392928318753,-1.1119308400999943,-0.8890224574812183,-0.7572898654021145,-0.5608229654651926,-0.9288470575859877,-1.0709640261970443,-0.9513966841741431,-0.8558231708831431,-0.14577100577135982,0.19190572987608176,-0.9153273529859651,-0.9046249381516744
88,-0.19067644348342785,-0.03418342219102154,0.6123519062255083,-0.20157115377660947,-0.44988727257685013,-0.20588146642330096,-0.09318272342123962,-0.33177676793551963,-0.34003800412232904,-0.20804178306946078,-0.4068562848954793,-0.5581560569818664,-0.46691932645124595,-0.42367626620977267,-0.3491302501973356,0.20481002726720923,0.13301756206248577,-0.29995395989419116,0.15586133680382847,0.17670873894572955,0.1729333883295454,0.18173596656972332,-0.07764884512875823,0.1659058225546757,-0.19806387763636898,0.22771469067641065,-0.3946765754801491,-0.3241718389911252,-0.3170861020556143,-0.22242400381653907
1315,-0.2587159054749034,-0.21272104127788563,0.07364546196011716,-0.19368590780208922,-0.2686856614732045,-0.33013007909458475,-0.16114788526728496,-0.41005800854138974,-0.41816795810433566,-0.423481216655568,-0.41740567073281837,-0.33683033496919973,-0.4295128879191732,-0.5599904836234753,-0.43796606678162664,-0.1355523584083699,-0.2688184864276442,-0.2927668424377673,0.08206121667235304,-0.003968474259799469,-0.04563137353295335,-0.0702238256486451,-0.23151722517701595,0.036217954161058684,-0.29039814767136735,-0.0479034210911412,-0.34233928584788953,0.20429263763782607,-0.4292563366050551,-0.39929091271824085
