,nAtom,nHeavyAtom,nC,GATS1e,nBonds,nBonds2,CrippenLogP,SpMAD_Dt,fragC,MLFER_S,MPC2,MPC3,piPC1,piPC6,TpiPC,R_TpiPCTPC,GGI4,GGI5,TopoPSA,VAdjMat,MWC2,MWC4,MWC5,MWC6,TWC,SRW4,WTPT-4,WPOL,XLogP,Zagreb
635,-0.8930727270910119,-0.9102242844712288,-0.9137586615753693,0.5315972514050474,-0.9146442934429989,-0.9146358087675018,-0.979146374275922,-0.9088505852605312,-0.449418248494297,-0.4312552889295958,-0.9427936946075656,-0.8627947366496566,-1.0462048954745107,-1.508881620133465,-1.0579937713817915,-0.55170425223878,-0.6889150569218937,-0.7040954437898438,-0.36649950548191823,-1.0483798631933023,-1.0787173923989595,-1.0915528602556104,-1.068565400892058,-1.0883419988181484,-1.0442989395082667,-1.0725487488790115,-0.42462662397860657,-0.8648103058965696,-0.9740318030526369,-0.9351440179662113
815,-1.2202727037125447,-0.9788592757895284,-1.2790104763331445,1.804172440387525,-0.9772304061947559,-1.2335099065016042,-0.9469634041982788,-0.9854571864952556,-0.45468967234376834,-0.27207610419423256,-0.9852735559637804,-0.8942354831234577,-1.0462048954745107,-1.508881620133465,-1.1508642350379035,-0.5079786269639073,-0.7534839211272556,-0.7040954437898438,-0.32894570349988456,-1.2669126723871877,-1.2956746926857805,-1.3164015896887822,-1.2983556979847453,-1.317036152655738,-1.1747727196099975,-1.2891618407708605,-0.07160192562696048,-0.9022664944374049,-0.9182181544689926,-0.9859559185065578
23,0.6702160501007555,0.11930058530326475,0.364622690076844,-0.8379584321149374,0.024147397833355105,0.6088737692954317,0.7615285415571057,-0.30080827429869017,-0.3678470402669108,-0.6067852056317335,0.1192028392978035,-0.1082168212784279,0.21520999153963075,-0.09504014587915526,-0.1654867463446482,-0.6382445526605064,-0.04322641486827378,0.22343474543442535,-0.4301215823793156,0.4531968861048683,0.4362752753462825,0.44846103452867114,0.43064847082846763,0.45381743798850693,0.21254211667768616,0.4447840453640594,0.05479044489883937,0.034138219083477805,0.7475344922396063,0.08109399284072043
394,0.015816096857690032,0.11930058530326475,0.2733097363874002,0.20881814323476974,0.14931962333686896,0.04198648443480528,0.05644608982923707,0.3554869901026883,-0.12867656231306232,0.05686215066675979,0.07672297794158874,0.08042765756437927,0.5929791041772547,0.7708947119272785,0.729263009379457,0.5967183037130841,-0.20106141661787452,-0.1575151542649354,-0.04748576493350807,0.4531968861048683,0.4546318604302658,0.43170298057704404,0.43064847082846763,0.4064687250335425,0.24525358336180744,0.4447840453640594,-0.38498223229402395,0.034138219083477805,0.10351333082751535,0.10649994311089372
1015,-0.20231722088999846,0.2565705679398639,0.18199678269795638,-0.9275196923756146,0.33707796159213976,-0.13516579208414048,0.7438577145536157,0.7393648609592057,0.1703816381368417,-0.029700547980869747,0.37408200743509207,0.48915736172379476,0.7728890216624164,1.2605346852354664,1.351337706694186,2.310032490167019,0.3441867703638982,0.13233803031485072,0.24816976888380884,0.5622367525010143,0.620450568349563,0.6428646192318259,0.6576390371255261,0.6474308020445564,0.4501700346676876,0.6137442990675981,-0.0749790490203539,0.40870010449183086,0.6140373572599512,0.36055944581262667
128,-0.02053945610025805,-0.36114435392483224,-0.18325503205981883,-0.23838696968007247,-0.41395539142894344,-0.06430488147656219,0.2693025437557221,-0.4944501838445539,-0.4059425878801005,-0.6245786492426352,-0.5179950810454179,-0.5169465254378434,-0.20667324989573774,-0.3958293400697722,-0.4772554049558489,-0.6294386974269532,-0.43063960010044566,-0.37283466175367075,-0.40727957911189305,-0.032798465456139396,-0.10319452970086658,-0.11528502956293261,-0.09864177457149569,-0.11019071370590532,-0.3130453548498595,-0.10460864811911363,-0.4188069075231362,-0.4527922319473812,0.30763181707627146,-0.477836913103092
305,0.7065716030587036,0.5997455245313618,1.0038133659029507,0.40337656331417404,0.6500085253509245,0.7505955905105883,0.24410320535446972,0.32062346074515685,0.30602569925313483,-0.02104427811610678,0.6714410369285955,0.7406833335142043,0.900954442171046,1.2621377421566995,1.3670528024942443,1.5219445455107428,0.3657097253680558,0.19030866699230023,-0.7661700372288544,0.7980160751856854,0.7865199885714871,0.7659524649509583,0.7649318354532468,0.745996655030024,0.720159440036149,0.7701385712927215,-1.0596797142590688,0.7083496128185134,0.42130941153846946,0.6654308490547062
861,-0.09325056201615421,0.32520555925816347,0.5472485974557316,-0.5529663324106506,0.5248362998474105,0.04198648443480528,0.6333145667242727,2.4859111027369667,0.7843123105850639,0.6940597934895886,0.6714410369285955,0.9922093053046139,0.8737544151272897,1.3581282228237905,1.5409926575091983,1.221770387863133,1.1190131408282418,0.05780435441633871,-0.13756326934402197,0.6132492180903468,0.7608456250932716,0.8268419035979357,0.8549084243472601,0.8570118454647024,0.6200624316357713,0.7549501488703223,-0.3639379296602164,0.7832619899001839,0.13039500647188285,0.6146189485143596
190,3.1423936512412247,1.7665403769424544,2.373507671244608,0.22105258070354428,1.5262141038755215,3.0181447299530944,3.1534129497356633,0.7837931997732177,-0.23731136927278584,-0.44664421313361885,0.926320205065884,0.6149203476189996,1.0513985545667441,0.352950719866941,0.2802897556442404,-0.63254005666897,0.08591131354245021,0.28968690112613665,-0.20983175425790132,1.366707111187663,1.0101160063906232,0.7799413612262276,0.7066974404671704,0.6462382759478047,1.4103268035107808,0.9465156882790926,0.43473518817242457,0.8956305555226899,3.600409272700737,1.173549854458172
425,0.34301607347922275,1.1488254550777584,1.277752226971282,-0.7306316779649901,1.4010418783720076,0.5380128586878534,1.19497226763508,4.163168719569367,2.2627021497708157,1.532756162608844,1.6909577094777497,2.2498391642566617,1.301878722537443,1.6282105610279505,1.8473773561479092,1.1829867309332103,3.034556111984944,1.7969234583174394,0.30301638689880656,1.0992445688205406,1.156543005626058,1.1758518423265805,1.1848008051226155,1.1744922026017297,1.341721663846974,1.1333087610534023,0.3320629582779534,2.0567724002885845,0.36914073592355295,1.5800450587809447
858,0.12488275573153428,0.050665593984965174,-0.0006291246809312264,-0.15771882148211064,-0.038438714918401826,0.07741693973859443,-0.46904184779507985,-0.016550807517621093,-0.3731184641163821,-0.18118527061422146,-0.17815619019569984,-0.29686130012123507,0.3110569481786253,-0.2311509272680302,-0.20033753927388037,-0.584351034225332,-0.43063960010044566,-0.37283466175367075,0.028396144226065147,0.3947164088964615,0.2744864257887664,0.18401304589313516,0.16327664052405477,0.12026515740880948,0.04791091913466401,0.2620062591829384,1.1716397423362948,-0.19059891216153405,-0.6446173710038631,-0.1221536093206659
462,-0.6385838563853754,-0.567049327879731,-0.45719389312815023,-0.45995328703531274,-0.5391276169324573,-0.6311921663371887,-0.3283118239168807,-0.41746644010244405,-0.4168115030336496,-0.28025147017761975,-0.5179950810454179,-0.45406503249024105,-0.13558115783711122,0.48460895514441044,0.08143386952444268,0.07016181953056634,-0.4127038046672031,-0.34799010351834636,-0.5492355316212988,-0.32185820461667075,-0.17249525866011867,-0.06807845108505818,-0.016016096947427144,-0.0011578376017588403,-0.39211158010285013,-0.14718128383829956,-0.370092225793514,-0.4902484204882165,-0.41316158748964854,-0.5286488136434385
495,-0.4931616445535831,-0.15523937996993353,-0.27456798574926267,0.17343304258913228,-0.10102482767015876,-0.4540398898182429,-0.6030202184921256,0.07467174234611285,-0.1937813640828216,0.4978510098882949,-0.09319646748327032,-0.0767760748046267,0.44080027524148896,0.8065443735481648,0.7559011775130868,0.6408347895475385,-0.14366686994012093,-0.28173794663409624,0.3697356845782273,0.19991926659798287,0.2963398062743658,0.3382021830876568,0.35175021640146026,0.35585996989067764,0.039278660218196974,0.30179427583298735,-0.3884405144187538,-0.15314272362069872,-0.6247978304864057,-0.09674765905049261
484,-0.34773943272179075,0.11930058530326475,-0.6398198005070379,-0.15255060420179445,0.024147397833355105,-0.38317897921066457,-0.3952591991877736,-0.5265998280535483,-0.3672492499334656,-0.5125280448820925,0.37408200743509207,0.4577166152499936,0.2641756135960185,-0.06288120793350598,-0.1187674804151147,-0.6157468351062716,0.73159995559607,0.42219121370209817,-0.037032644794179254,0.4531968861048683,0.54128094053834,0.6696510993593071,0.7253022114155052,0.7544654427767516,0.32716748894583486,0.5673933127049148,-0.09722988421425476,0.7083496128185134,-0.24480939849653385,0.2335296944617602
742,0.23394941460537852,0.5311105332130622,-0.0006291246809312264,-0.5258165407995693,0.3996640743438967,0.18370830564996188,-4.411133340094952,-0.07463297573767995,-0.334696849048586,-0.10904968840786354,0.28912228472266255,-0.013894581857024314,0.6279517282330433,0.22212635339006312,0.10555114248189969,-0.5784535511051039,0.3441867703638982,0.28968690112613665,1.826203757324731,0.7544253797397236,0.6051535696797812,0.5067332506670826,0.461357797547393,0.44116956008490865,0.4894345946892604,0.5862338583554302,2.127311026554653,0.14650678470598372,-2.1399675314244377,0.33515349554245333
105,-1.2566282566704927,-1.047494267107828,-1.1876975226437008,2.573497614445677,-1.0398165189465127,-1.2689403618053934,-1.600201359664954,-1.0908792417426922,-0.46023281907207836,-0.8866712645924025,-0.9852735559637804,-0.9571169760710602,-1.4168442419816285,-1.508881620133465,-1.4011904275311378,-0.5844984713862341,-0.7534839211272556,-0.7040954437898438,-0.07316688725111888,-1.5343752147543104,-1.4270124534952444,-1.4232203537423493,-1.4773364511827523,-1.404956060781063,-1.2653044277140029,-1.375425839514383,-0.16465720149786062,-0.9771788715190755,-1.107073316411201,-1.0113618687767312
931,-0.23867277384794652,-0.4984143365614314,-0.27456798574926267,0.29068139116299035,-0.47654150418070035,-0.24145715799550796,-0.10990137322651444,-0.375242241105711,-0.4114313900326428,-0.5817782038001961,-0.43303535833298845,-0.35974279306883744,-0.2826720094043561,-0.03294195268927762,-0.28211896807054,-0.5566730734376667,-0.2907403945911983,-0.38939770097473325,-0.6275694072333072,-0.21756532255147798,-0.07041252149952731,0.052416053886500495,0.10396828929152448,0.12839856957143175,-0.29908603058011546,-0.04445024046984162,-0.7303813740531503,-0.3778798548657106,-0.19446320936598127,-0.45243096283291867
162,-0.456806091595635,-0.6356843191980306,-0.3658809394387065,0.8425159710838522,-0.6017137296842142,-0.4540398898182429,0.021028907940086668,-0.4583713431826058,-0.42235464976195963,-0.662570055871317,-0.5604749424016328,-0.5169465254378434,-0.3643052844958968,0.008417621042543576,-0.2891013086652462,-0.4141801081180225,-0.4449882367698841,-0.4225237794168583,-0.8886393089846962,-0.43609813174536327,-0.247459244888362,-0.13382837362363548,-0.08072514387384187,-0.06120415489397811,-0.4611593993107401,-0.21526302537020298,-1.0596797142590688,-0.5651607975698871,0.04200441198023393,-0.5794607141837852
