,naAromAtom,nBonds,SpMax_Dt,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_S,MLFER_E,MLFER_L,MPC2,MPC3,MPC6,TPC,piPC1,piPC2,TpiPC,GGI2,GGI4,TopoPSA,MWC3,MWC5,MWC7,MWC9,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP
253,-0.6355502266259445,-0.8055304437300679,-0.6030564451106118,-0.6095650426164441,-0.6012350633864608,-0.8832274869876966,-0.4298246060508381,-0.5439279198575302,-0.5494098229731551,-0.735703274295315,-0.7073485872208461,-0.8150583260228167,-0.640857844854461,-0.5388190792825776,-0.9166558234770381,-0.8147275011967109,-1.0130948967747282,-0.6970687793545384,-0.7685409395270132,-0.36050742618081,-0.5389127018084892,-0.4347159493396054,-0.3651614468437847,-0.3168287051342763,-0.6948282024122158,-0.8075262766579163,-0.6271658505897119,-0.4262065037027311,-0.8049478438520516,-0.7391005125246692
85,-0.6355502266259445,-0.5595370566490926,-0.4900938093762254,-0.4753600903965534,-0.4890553188497577,-0.47826007916295743,-0.4101274555020116,-0.4884041627763832,-0.529862231636437,-0.40348586622723326,-0.7073485872208461,-0.6931425204581299,-0.5623947250846061,-0.49026591961624205,-0.47397899389449555,-0.8147275011967109,-0.693749800947819,-0.8997830840516005,-0.7059773125537568,-0.36050742618081,-0.36626592006264685,-0.4305142614169664,-0.4696485161036643,-0.4957072634523468,-0.24909294255304973,-0.5251533865492428,-0.6182190418037238,-0.40790626149375026,-0.6588051848657753,-0.28227874390990654
1199,-0.6355502266259445,-0.9900254840407994,-0.6391971810191944,-0.6517591828300782,-0.6371253247795466,-1.046327835656046,-0.4444497403333418,-0.09644408100862613,-0.44624197980714286,-0.7723782613013133,-0.8730430230086692,-0.9674530829786753,-0.640857844854461,-0.5636877708189932,-1.230740033167835,-0.9022787554365725,-1.2765152645345228,-1.001140236172078,-0.7685409395270132,0.26314972172238094,-1.0707346943796163,-0.9490850781798729,-0.8627503101387045,-0.8009048024895985,-1.2275131488989748,-0.9983974468995747,-0.16188366021567516,0.13508578862713627,-0.987626167584897,-1.3595429940908694
1182,-0.6355502266259445,-1.0515238308110433,-0.6459891646283561,-0.6566718214346289,-0.6438702363278362,-1.0785541480403362,-0.44952175659966465,-0.7283797230423571,-0.6813560644960024,-1.0667864044147572,-0.9973138498495365,-0.9674530829786753,-0.640857844854461,-0.5696088878514732,-1.429794223589845,-1.371519544605786,-1.4292422447545277,-1.001140236172078,-0.7685409395270132,-0.36462850865594115,-1.5038531509687287,-1.4791970617633228,-1.4501173622292385,-1.4250281808477407,-1.4895818595134809,-1.056789178454589,-0.6398247380866892,-0.4520996140655832,-0.987626167584897,-0.9769292325983261
219,-0.6355502266259445,0.8549249190665154,0.2075858189926706,0.30759928346342974,0.2037890184134012,0.13409048753368946,-0.29598246807156176,0.11859284260225615,-0.667238359641706,0.015314758586968296,1.280984642233031,1.0136787574474857,-0.06546163320885867,-0.02368189745682318,0.7844881366768449,0.8585927376332242,0.1267468014854118,3.053145852751986,1.233495123617192,0.6325485690386883,0.9452130546104658,0.9446022036295961,0.9420154137839399,0.941711698909641,0.8965313191924043,0.8796898542908778,2.2427269322073604,0.205641226867538,1.387192040942093,0.6172947736206048
421,-0.6355502266259445,0.6089315319855401,-0.18168290007478083,-0.2322840314147733,-0.18278186127546756,-0.41047261246643435,-0.31558113286764417,-1.177275182834002,-1.5745723908543714,-1.0761126897702344,1.2395610332860754,1.2270314171856875,0.4183942720385796,0.005923687705576495,0.562203805497365,0.7124770397614993,0.09921933806036459,3.8640030719963416,2.0468222742695255,-0.8253155768607613,0.948845178825653,1.0127526494238706,1.0447604015790746,1.0636991285513409,0.7680252895565323,0.6035172824373742,2.4724678997006824,-1.0361704828770533,1.6429416941680766,1.216632225638284
1369,0.6346311373611203,0.9164232658367593,0.3893817374955618,0.407177027950668,0.3843249946276038,0.4880383107572272,0.043448678761091514,0.421150264663082,0.9742163239943731,0.8007392225779713,0.8667485527634734,0.8917629518827987,0.7845554976312357,0.5317188801897947,1.0395430835604078,1.0305639301152705,1.2579598378602725,0.924645655941423,1.3655738917587381,1.0395366837796771,0.8566664310280592,0.8183867645750458,0.7910564704162533,0.7698942922368044,0.9263274069759067,0.9408292381284761,1.3818110296225001,0.9072938836805563,1.0218353934764024,0.40238656950824503
446,-0.6355502266259445,-0.19054697602762966,-0.14467182844333384,-0.16567219469164843,-0.1250271342043138,0.5319859649386575,-0.38058172967877174,-0.5651022339986456,-0.5890479942948335,-0.19641712515900195,-0.3759597156451999,-0.38835300654641286,-0.3531597390316598,-0.31855352567432393,-0.03130216431195296,-0.31267633565277814,-0.24394519322595978,-0.7984259319311231,-0.6434136855805004,-0.6352462578562245,0.09055812289125696,0.03215233503527928,-0.0038602750131488373,-0.027555024370674603,0.1887273476759406,-0.1609212013704375,-0.5493422543982605,-0.26702229691517143,-0.2934485374000845,0.42848418669189997
332,0.6346311373611203,0.4244364916748086,0.06800214628319659,0.07130039590949819,0.0651727348374413,0.3877574695822574,0.17098772856474337,-0.2837191260789351,0.08371494087721473,0.21104072016880837,0.41108885434695985,0.5564944865799101,0.4183942720385796,0.3138217733945331,0.6789933343643553,0.7737392621251507,1.220650689717561,0.6205741995799905,0.3019922332133792,-0.7505116858727733,0.6687614612353694,0.6613041726149999,0.6519595074432077,0.6433710271277411,0.6600538831489365,0.40023279427498865,-0.4146470464787973,-0.6557111858731367,0.5103360870244352,1.318980272158531
1351,-0.6355502266259445,-1.2360188711217748,-0.6620897194483238,-0.6733307534921777,-0.6598592057347392,-1.3129644276564878,-0.46439310526402866,-0.720851078014405,-0.5961068467219817,-1.2017654803028133,-1.1215846766904038,-0.9674530829786753,-0.640857844854461,-0.5802668985099371,-3.186938940205281,-3.017417063707082,-2.262474255681065,-1.001140236172078,-0.7685409395270132,-0.8657771138893222,-3.8138756874537005,-3.971146772950516,-4.059654318776312,-4.113032537217322,-3.5187616713470913,-1.2461070466122164,-0.9253712527747677,-1.0361704828770533,-0.987626167584897,-0.681912690522225
