,MATS3m,SpDiam_Dt,SpAD_Dt,SpMAD_Dt,fragC,MLFER_E,MLFER_L,MPC3,MPC4,MPC5,TPC,piPC1,piPC2,piPC4,piPC6,TpiPC,GGI4,GGI5,MWC3,MWC5,MWC6,MWC7,TWC,SRW6,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
15,0.16925790866310242,0.15191517743527483,0.10094364180209937,0.3207054969211389,-0.05923257118634707,-0.04721288575636846,0.1988852997314957,0.6809228667529722,0.5664898123343152,0.5519581190430745,0.2653335604670879,0.7713763877577932,0.8951408752856577,0.9433818288195727,1.015800735998588,0.9968235448967863,0.9970991207253964,1.088853884078423,0.7222746658923018,0.7323425641644642,0.7254038846210036,0.7336183305536809,0.6170235715530764,0.7019215744646612,0.47662849693668946,1.402893783453487,0.670225678441389,0.770100229002881,-0.5300624900656625,0.5432133323535113
480,0.20960575003105433,0.0023673732287560843,0.07909255082096182,0.21602841721290122,0.2665763638169471,0.7764338961002031,0.6047013787503089,0.8055918661079172,0.7021043885697692,0.6840211292679519,0.5129588506234086,0.8282589506329495,0.9015725135607742,1.018228512848124,1.1253937278180866,1.1825149601095084,0.3652353401934952,0.47397877461341886,0.7693724662958943,0.7650220518159541,0.7548740674726877,0.7630941789523626,0.6998566803998197,0.735706455917991,0.5862969719383948,-0.20997159835632656,-0.7144217649067417,0.80742789967739,0.2657219139300925,0.64489148849273
778,-1.394648295023169,-0.6055371049326211,-0.5904192403669319,-0.6441463765883068,-0.44924549596577096,-0.46098804630990675,-0.7265512399302722,-0.6592688763126874,-0.6088365150396204,-0.636608972980823,-0.5416483495854904,-0.4616367437850054,-0.2837729587403342,0.1943858372730694,-0.14355654383641395,-0.34468092657839056,-0.6312664972836339,-0.7395905225600604,-0.4162686219036396,-0.2939001043623527,-0.25992728049579406,-0.21482065171329398,-0.6589104056812185,-0.3735742721649105,-0.7971862557730408,-0.5426895763518962,-1.0653155988348209,-0.7976619393265012,-0.5360475622391915,-0.7531831584215272
126,0.7857108997746827,-0.08416047288112923,0.010318280743950872,0.8716219649971556,0.003340005734815398,0.3403527969723501,0.031023836835887164,0.24458136901066438,0.3178630892359826,0.41989510881819697,0.2301380877545144,0.43271826010773284,0.5927037100030065,0.8763127885554285,1.0178581005417444,1.0693832530762153,0.33715250515215317,-0.0276298685755607,0.46050760711864636,0.528651829371917,0.5414932116583165,0.5698505727902136,0.15164117512251107,0.46315311226300876,-0.06738190317030271,-0.5835091500524459,-0.7176969161486553,0.1355298275362263,0.4362964708756679,0.03482255165741777
328,0.5177846183668656,-0.47689439452646654,-0.43430693393997777,-0.02563286902451001,-0.31236469481190754,-0.28477113157282036,-0.4381605910418229,-0.2852618782478522,-0.20199278633325812,-0.25692781858430014,-0.37572683536907237,-0.1878770997231312,-0.12587423132607167,0.15978055602975652,0.10985428214520232,-0.06284984880800513,-0.6532062120609538,-0.5939622069458439,0.03466519847930381,0.17241233340426243,0.20952383806374886,0.2583495423556393,-0.3224514410650147,0.06927854477331157,-0.5663738506412597,-0.4335803040426269,0.01112215441884209,-0.4617129032559193,-0.7669332310872511,-0.47356822903867574
1349,-0.7586818468824721,0.482895846692356,0.37624302274659305,0.6786654061686185,-0.012237355719065215,-0.1793755718091832,0.3244580890008608,0.27574861884940066,0.2048509423731042,0.07322970697789355,-0.08285022315372856,0.6480308452348909,0.45833454226334913,0.2938796997598441,0.21086211928334495,0.1565868901739697,0.1405726622322472,-0.10853448784344699,0.6618236131302838,0.5716592812169302,0.5454146966632794,0.5097742574025457,0.6888684481232811,0.6171172920957959,0.6993685466517012,0.26360253721080146,-0.2671862284447042,0.2848405102342627,-0.43752406645956077,0.5940524104231206
654,0.4083491723766073,0.08509672453578393,0.05687395346532931,0.28814934197821834,-0.07523094240925148,0.5450097833916879,0.3186385467587172,0.46275211788181825,0.3856703773537097,0.32084785114953884,0.13209355662663105,0.7114176306754336,0.7856770905977433,0.9251313814507691,1.029403668821542,1.0566138066246187,0.5793669546193252,0.47397877461341886,0.6406110388602196,0.6250543619116672,0.6085767731868676,0.6090244984559233,0.52676062321428,0.6019292530477423,0.4234935238194362,0.6703445039663893,-0.4212168840178123,0.5088065342813173,0.6664915544729357,0.4161156371794879
411,0.4697870637531997,-0.689780526774785,-0.6733317549083521,-1.1179311016742892,-0.4754533540875025,-0.48050574256243217,-0.9162683170241532,-1.0021086245387865,-0.8800656675105286,-0.7686719832057004,-0.6044974080008002,-1.4777727941410863,-1.4142518500399788,-2.00619166103293,-1.599903149714805,-1.469310304120076,-0.7931815910449336,-0.7395905225600604,-1.5535341690872637,-1.5277623791592292,-1.4529159075595144,-1.4975613785815283,-1.3182416700682391,-1.367182737940212,-1.0923940195743758,-0.34230014856550073,-0.16747799024054758,-1.0216279633735557,-1.2754341707536156,-1.0582176268391834
587,-1.7279067236535943,-0.5844317844399912,-0.5593300570837648,-0.5255354957765027,-0.4439302476318454,-0.42808678691279256,-0.7722023157408652,-0.6281016264739512,-0.5410292269218934,-0.5705774678683841,-0.5190226885559788,-0.7090955455134189,-0.6956739096402683,-0.4549030237007002,-0.5935537570310021,-0.7235866441830493,-0.5299050160865847,-0.7395905225600604,-0.30341135746910686,-0.19711656151257537,-0.15065349789403093,-0.1300737472404458,-0.5755018095320451,-0.21902787944921648,-0.7324219104474767,-0.3400739631458914,-1.0653155988348209,-0.6856789273029739,-0.872592774458397,-0.6769245413171132
234,-0.691238174879627,-0.6152324745230382,-0.5969403931431504,-0.5955308113458421,-0.4545607442996964,-0.6232637494380465,-0.8413902068419057,-0.7527706258288962,-0.6992462325299232,-0.636608972980823,-0.5567321236051647,-0.956554347241832,-1.0374255532498866,-0.7768245021315258,-1.119752464647327,-0.9294235134488242,-0.705422732725484,-0.7395905225600604,-0.596883722589561,-0.5099604378683664,-0.4893056941783826,-0.45297714454427895,-0.7900049394342883,-0.5245930203248206,-0.8576518900171268,-0.7693852386398957,-0.6722845138126755,-0.8349896100010102,-0.5452553655830822,-0.8294417755259412
