,nHeavyAtom,MATS4p,GATS1e,nBonds,SpDiam_Dt,fragC,McGowan_Volume,MLFER_S,MLFER_E,MLFER_L,MPC4,MPC6,TPC,piPC1,piPC2,piPC5,piPC6,TpiPC,GGI4,TopoPSA,MWC2,MWC5,TWC,SRW2,WTPT-1,WTPT-3,WTPT-4,WPOL,XLogP,Zagreb
527,-0.39696140631754634,0.35247306667379497,0.687415132543345,-0.45632110583307745,-0.5172817771922538,-0.42907026010046023,-0.37134257643288104,-0.06120690226451969,-0.27017382211606333,-0.3070879533923759,-0.5309865845164647,-0.5642905588623445,-0.4737973464766141,-0.3412474468730148,-0.4038089774002685,-0.5711082951470663,-0.6717778048279659,-0.615297934260378,-0.29511621320081005,0.43781647193506945,-0.06310387417554322,0.026216928369050648,-0.29196886236467234,-0.11195003569783621,-0.43812658275327077,0.023607876993232413,0.540154154962066,-0.3566959302067097,-1.5606454852474139,-0.4514682950143544
330,-0.12505026877795933,1.5302263192331071,-0.5764287583727367,-0.1461962069935262,-0.3698934709555772,-0.40262294942729093,-0.29680429198956965,0.4868695135006238,-0.0697294457399168,-0.2549817899230244,-0.14664402922818828,-0.04174323288150053,-0.24516711109517497,0.34875557555089975,0.5216708827899318,0.763822859615446,0.8580662850472008,0.5229105439684077,0.21173356102273358,0.6130266860766767,0.2857535581344389,0.37568878461839833,0.04575586097586152,0.22381880624098976,-0.1468260804187957,0.388815429501037,1.204820362821112,-0.021329649038118886,-0.7936175996981498,-0.09877294092393192
1117,-1.008761465781617,0.20389466711127943,-0.19861733945106216,-1.0145459237442698,-0.6785497905738112,-0.476538441209077,-1.0690158567995636,-0.08170486260480112,-0.41951339998271076,-1.0358060921332817,-0.8927207541995485,-0.671479753935338,-0.5826688871344422,-1.113853840286816,-0.6384622356015958,-1.8024777404095036,-1.6462279251755272,-1.245642206234671,-0.8091047167292608,0.27531185707856787,-1.0478617961659489,-1.0033682047871897,-1.0513280183281355,-1.2826957201162734,-1.0182795982219843,-0.18443833020490036,-0.14770177416350352,-1.0274284925438912,-1.242987472040143,-0.9553188008578152
674,-0.7368503282420301,0.7691697132130876,0.4643793999601137,-0.6423960451368081,-0.5510301332245704,-0.3503605347105897,-0.7229000538242549,-0.6722413390748131,-0.39509666291706114,-0.721888861600481,-0.32751111406973016,-0.4571013637893508,-0.44960367077487445,-0.4238508178629016,-0.4038089774002685,-0.01968262844976581,-0.05696823048849422,-0.3232535263298255,-0.5873579405566545,-0.8885210374371111,-0.2653962228320437,0.033909404122353985,-0.4628251961465387,-0.37976542877058583,-0.6925037525222812,-0.9641141764444844,-0.9926072944143682,-0.7665880516349873,-0.0026823514824151143,-0.6026234467673927
1583,-0.8048281126269269,0.09409891962303042,0.42903088561711866,-0.8284709844405389,-0.6098903997885456,-0.46094401101135163,-0.6722165514141595,-0.6727293857495816,-0.6614094462610065,-0.7230410863455036,-0.8022872117787776,-0.6446824551670897,-0.5572655276476156,-0.9650150210847929,-1.2856564525397296,-1.1369517277354784,-1.1590028647800008,-1.074572174310966,-0.7448561537882045,-0.6314867638994234,-0.815777074516702,-0.8322253300084501,-0.8937072193472183,-0.7383299772819922,-0.8078985746666095,-0.807676020440587,-0.6912274331455595,-0.8411138918946742,-0.256366033109964,-0.879741224981296
1111,0.8266387126105953,0.23014805033206828,-0.37735616015201956,0.660128529989307,0.6299414758476114,-0.3343446334264393,1.229838482852345,-0.36037951389767453,-0.632450060438957,0.6530993341263861,-0.2144691860437665,-0.29631757117986035,-0.21855406782326142,0.680082649247517,0.31812142616382416,0.0850955699027753,0.0218318371504708,0.014618937634568056,-0.42361333908292276,-0.220206515040553,0.6140987693972414,0.31857416113726644,0.6191589757022616,0.790980254582193,0.7750735856619989,-0.25036102169767055,0.38244615963178,0.1277220314812548,1.8403982185271583,0.37988503962735576
307,-0.7368503282420301,-0.8223134333514798,-0.49471262411652256,-0.7664460046726287,-0.6082129070675104,-0.45557025465943274,-0.7415029872931288,-0.38966231438379084,-0.6534598109373067,-0.740836557407518,-0.7344620549631994,-0.6446824551670897,-0.5463783735818328,-0.6100552155466401,-0.6384622356015958,-1.0298259671979924,-1.0314183508360555,-0.8423360191197851,-0.6806075908471481,-0.33747919644207836,-0.5761227739827176,-0.5145633236192155,-0.7180340735376578,-0.6049487917785251,-0.7527617366237023,-0.4677832053861594,-0.03642011462400779,-0.7665880516349873,-0.6654475720695714,-0.7789711238126039
237,0.5547275750710082,0.6748886010107753,1.1465489416517614,0.41202861091766607,-0.0861801991730778,-0.35541818774768985,1.0057174272511487,-0.6527194720840689,-0.8158595039786037,0.28208296622913653,-0.14664402922818828,-0.18912837610686675,-0.1677473488496083,0.43135894542615105,0.10376687738697674,-0.06896437676962723,-0.04481702174741799,-0.0829941831188059,-0.03812196143658473,-0.5367029932325352,0.5224384557293863,0.36103051686203785,0.4606239450972756,0.646262168270013,0.5007600172390932,-0.13827275330235592,0.1655436234234311,0.20224787174094166,1.4392858004563744,0.22872988787431756
1270,0.6906831438408018,2.091764422901793,-0.3816571990663627,0.5981035502213968,0.22717190601557763,-0.3395076542351457,0.903591119024065,-0.33841741353308735,-0.43768399500831046,0.14279179705308157,0.28291529727047365,0.1324392091121141,0.07539909195287454,0.680082649247517,0.6219695867889233,0.36832234827798443,0.4177632892966195,0.36095831989602783,1.050534244310473,0.09387589928725897,0.7739470648374757,0.6621949700830644,0.7003355100181563,0.7566011880631957,0.6200407834499394,0.10824355612673134,0.31838870257149005,0.4258253925200022,0.20672843631833637,0.6821953431334322
973,-0.39696140631754634,0.4991787707193499,-0.6016654916113434,-0.3942961260651672,-0.44848075606031423,-0.4238545554059508,-0.40335987009019475,-0.16906521738838132,-0.14468315022051556,-0.40848373095435714,-0.4179446564905011,-0.4571013637893508,-0.4072647382968302,0.0563150761503739,0.23032623008877184,0.44502103060610537,0.3191309079484333,0.1280647476968128,-0.35222604683695935,0.06160367710309067,0.023536195847232745,0.12126472888676051,-0.23078329139105822,-0.035799172874188566,-0.3996354657597873,-0.07713927332323195,-0.07763007044901225,-0.39395885033655315,-0.5498953191816304,-0.37589071913783534
873,-0.5329169750873398,-0.13301752581917003,0.16278417246681068,-0.5803710653688979,-0.5538662265241089,-0.43976508891849486,-0.30180303941828057,-0.007521768039973097,-0.05723716165981713,-0.44381862313504755,-0.6440285125424284,-0.5776892082464686,-0.5064588086739625,-0.4238508178629016,-0.5740433237959679,-0.5711082951470663,-0.6250513260825569,-0.6866986630192184,-0.48786190202397905,-0.4396322146943279,-0.30388026900679693,-0.2508591527268173,-0.4874090332093392,-0.28282056699927144,-0.5529629187649606,-0.43762279404862214,-0.9926072944143682,-0.5802734509857702,-0.14280606044422872,-0.6278159720595656
253,-0.6008947594722366,-2.448914844522251,0.3756544305672136,-0.5803710653688979,-0.5427887075800754,-0.439817772804298,-0.6071062842731004,-0.3545229538004513,-0.19522011763546465,-0.47864141542906136,-0.44055304209569385,-0.4838986625575992,-0.4604908248406573,-0.2643455497064251,0.05745802080804182,0.45709903986046163,0.3834733141810432,-0.022246055579866475,-0.2344370145106537,-0.37445249036173583,-0.15872198037153532,0.07462565172029788,-0.38412093077763704,-0.28282056699927144,-0.6008088550961634,-0.6408131516182064,-0.369764245767209,-0.39395885033655315,-0.555650795379114,-0.5270458708908735
679,-0.6008947594722366,1.4725419277282985,-0.23071204587344635,-0.6423960451368081,-0.5754221092174513,-0.44508616138461066,-0.4839725817886487,-0.7015241395609293,-0.7119464136759556,-0.6450738785989801,-0.6440285125424284,-0.5910878576305928,-0.5209750140950062,-0.5130692535277905,-0.45717801070829817,-0.8682938766363693,-0.6250513260825569,-0.7547720982509828,-0.6163590279060918,-0.41460218410266975,-0.2653962228320437,-0.21588973184796578,-0.5084320686116786,-0.37976542877058583,-0.6330597317151395,-0.6558599231298771,-0.3987520197640964,-0.6920622113753006,-0.047397974247480525,-0.6026234467673927
