ratio,negative_ratio,sampling_round,outer_fold,n_selected_total,n_train_graphs,n_validation_graphs,n_test_graphs,n_train_edcs,n_train_non_edcs,n_validation_edcs,n_validation_non_edcs,n_test_edcs,n_test_non_edcs,best_epoch,best_validation_pr_auc,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,pr_auc,roc_auc,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,threshold,tp,tn,fp,fn
1,1:1,7,3,162,130,26,32,65,65,13,13,16,16,4,1.0,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.48999999999999994,15,15,1,1
1,1:1,7,4,162,130,26,32,65,65,13,13,16,16,1,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.625,1.0,0.8125,0.674199862463242,0.7692307692307693,0.8125,0.5249999999999999,10,16,0,6
1,1:1,7,5,162,130,26,32,65,65,13,13,16,16,1,0.973076923076923,60,40,20,0.0005,0.0005,0.5,0.9963235294117647,0.99609375,0.9375,1.0,0.96875,0.9393364366277243,0.967741935483871,0.96875,0.3999999999999999,15,16,0,1
1,1:1,8,1,162,128,26,34,64,64,13,13,17,17,5,0.9945054945054945,60,40,20,0.0005,0.0005,0.5,0.9437587881002203,0.9377162629757785,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.33499999999999996,17,0,17,0
1,1:1,8,2,162,130,26,32,65,65,13,13,16,16,25,0.9885883347421809,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4749999999999999,16,16,0,0
1,1:1,8,3,162,130,26,32,65,65,13,13,16,16,4,1.0,60,40,20,0.0005,0.0005,0.5,0.9829545454545454,0.9765625,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.36999999999999994,16,0,16,0
1,1:1,8,4,162,130,26,32,65,65,13,13,16,16,1,0.9897435897435896,60,40,20,0.0005,0.0005,0.5,0.9924172794117647,0.9921875,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.5199999999999999,15,15,1,1
1,1:1,8,5,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,9,1,162,128,26,34,64,64,13,13,17,17,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4649999999999999,17,17,0,0
1,1:1,9,2,162,130,26,32,65,65,13,13,16,16,5,0.8544003005541467,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.875,1.0,0.9375,0.8819171036881969,0.9333333333333333,0.9375,0.5049999999999999,14,16,0,2
1,1:1,9,3,162,130,26,32,65,65,13,13,16,16,9,1.0,60,40,20,0.0005,0.0005,0.5,0.8632072614885116,0.912109375,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,9,4,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9606770833333333,0.943359375,0.8125,0.9375,0.875,0.7559289460184544,0.8666666666666666,0.875,0.7499999999999999,13,15,1,3
1,1:1,9,5,162,130,26,32,65,65,13,13,16,16,1,0.9999999999999998,60,40,20,0.0005,0.0005,0.5,1.0,1.0,0.6875,1.0,0.84375,0.7237468644557459,0.8148148148148148,0.84375,0.25499999999999995,11,16,0,5
1,1:1,10,1,162,128,26,34,64,64,13,13,17,17,1,1.0,60,40,20,0.0005,0.0005,0.5,0.9794943378420888,0.9757785467128027,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,17,0,17,0
1,1:1,10,2,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.8125,0.90625,0.827170191868511,0.9142857142857143,0.90625,0.4799999999999999,16,13,3,0
1,1:1,10,3,162,130,26,32,65,65,13,13,16,16,2,1.0,60,40,20,0.0005,0.0005,0.5,0.925103021978022,0.8828125,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49999999999999994,16,0,16,0
1,1:1,10,4,162,130,26,32,65,65,13,13,16,16,8,0.9897435897435898,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.49499999999999994,16,0,16,0
1,1:1,10,5,162,130,26,32,65,65,13,13,16,16,1,1.0,60,40,20,0.0005,0.0005,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.4499999999999999,16,0,16,0
1,1:1,11,1,162,128,26,34,64,64,13,13,17,17,28,0.9345590307128768,60,40,20,0.0005,0.0005,0.5,0.9897875816993464,0.9896193771626297,1.0,0.8823529411764706,0.9411764705882353,0.8885233166386385,0.9444444444444444,0.9411764705882353,0.5449999999999999,17,15,2,0
