ratio,negative_ratio,sampling_round,n_outer_folds,n_samples,n_edcs,n_non_edcs,pr_auc,roc_auc,ranking_metric_aggregation,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,tp,tn,fp,fn,threshold_mean,threshold_sd
2,1:2,15,5,243,81,162,0.949526618330648,0.9678762708787219,test-size-weighted outer-fold mean,0.9753086419753086,0.37037037037037035,0.6728395061728395,0.3737987949680771,0.6030534351145038,0.5720164609053497,79,60,102,2,0.4925308641975308,0.06330481814206565
2,1:2,16,5,243,81,162,0.9720122711952778,0.9834785766158316,test-size-weighted outer-fold mean,0.8641975308641975,0.7592592592592593,0.8117283950617284,0.5909363805294265,0.7368421052631579,0.7942386831275721,70,123,39,11,0.4961728395061727,0.00961769203083568
2,1:2,17,5,243,81,162,0.9643928406295997,0.9839551561365286,test-size-weighted outer-fold mean,0.8518518518518519,0.7037037037037037,0.7777777777777778,0.5241424183609592,0.696969696969697,0.7530864197530864,69,114,48,12,0.5006172839506172,0.024083189157584593
2,1:2,18,5,243,81,162,0.9395892014098902,0.9714846586782862,test-size-weighted outer-fold mean,0.9382716049382716,0.8580246913580247,0.8981481481481481,0.7639692336076042,0.8444444444444444,0.8847736625514403,76,139,23,5,0.4914814814814814,0.050299105359837164
2,1:2,19,5,243,81,162,0.9900819884609015,0.9935775236020334,test-size-weighted outer-fold mean,0.9753086419753086,0.8271604938271605,0.9012345679012346,0.7620211255023903,0.8404255319148937,0.8765432098765432,79,134,28,2,0.4393209876543209,0.1462617516646098
2,1:2,20,5,243,81,162,0.9525313074046018,0.9832175925925926,test-size-weighted outer-fold mean,0.7654320987654321,0.7901234567901234,0.7777777777777777,0.5357142857142857,0.7005649717514124,0.7818930041152263,62,128,34,19,0.48932098765432086,0.0369797241742012
2,1:2,21,5,243,81,162,0.9744043087979767,0.9889365468409586,test-size-weighted outer-fold mean,0.8395061728395061,0.5864197530864198,0.712962962962963,0.40406881213262624,0.6296296296296297,0.6707818930041153,68,95,67,13,0.4506172839506172,0.05465802777268862
2,1:2,22,5,243,81,162,0.982162534740603,0.9889251997095134,test-size-weighted outer-fold mean,0.8765432098765432,0.7716049382716049,0.8240740740740741,0.6148873228105183,0.7513227513227513,0.8065843621399177,71,125,37,10,0.4782716049382715,0.05727128425310544
2,1:2,23,5,243,81,162,0.9677865813873725,0.9832516339869282,test-size-weighted outer-fold mean,0.8765432098765432,0.8518518518518519,0.8641975308641976,0.7036786089098267,0.8068181818181818,0.8600823045267489,71,138,24,10,0.48969135802469127,0.03840572873934305
2,1:2,24,5,243,81,162,0.9733263661135667,0.9846132897603486,test-size-weighted outer-fold mean,0.8395061728395061,0.7716049382716049,0.8055555555555556,0.5815485859014491,0.7311827956989247,0.7942386831275721,68,125,37,13,0.4980246913580246,0.049320381182630796
2,1:2,25,5,243,81,162,0.9131190655963641,0.9590935911401598,test-size-weighted outer-fold mean,0.9629629629629629,0.49382716049382713,0.728395061728395,0.4540646416482798,0.6473029045643154,0.6502057613168725,78,80,82,3,0.4330864197530863,0.09526279441628824
2,1:2,26,5,243,81,162,0.9755089943543103,0.9853395061728395,test-size-weighted outer-fold mean,0.8148148148148148,0.5370370370370371,0.6759259259259259,0.3360858403966819,0.5945945945945946,0.6296296296296297,66,87,75,15,0.48975308641975307,0.037815340802378083
2,1:2,27,5,243,81,162,0.966962504734836,0.9859182098765432,test-size-weighted outer-fold mean,0.9876543209876543,0.2777777777777778,0.632716049382716,0.319404792952768,0.5755395683453237,0.51440329218107,80,45,117,1,0.45654320987654307,0.04761827380323651
2,1:2,28,5,243,81,162,0.9679855986341225,0.9766022149600581,test-size-weighted outer-fold mean,0.9629629629629629,0.3950617283950617,0.6790123456790123,0.3776758892762018,0.6070038910505836,0.5843621399176955,78,64,98,3,0.3460493827160493,0.10766847263707233
2,1:2,29,5,243,81,162,0.9373538199432594,0.9760348583877996,test-size-weighted outer-fold mean,0.8888888888888888,0.7716049382716049,0.8302469135802468,0.6260415120460262,0.7578947368421053,0.8106995884773662,72,125,37,9,0.5227160493827159,0.04309872387901992
2,1:2,30,5,243,81,162,0.9112535742032961,0.9410289578794481,test-size-weighted outer-fold mean,1.0,0.46296296296296297,0.7314814814814815,0.4724555912615341,0.6506024096385542,0.6419753086419753,81,75,87,0,0.4849382716049382,0.03984344362627308
2,1:2,31,5,243,81,162,0.9600985390147443,0.9754107661583151,test-size-weighted outer-fold mean,0.7037037037037037,0.5925925925925926,0.6481481481481481,0.2793721183078313,0.5588235294117647,0.6296296296296297,57,96,66,24,0.49407407407407394,0.05308012810836087
2,1:2,32,5,243,81,162,0.9346032133914831,0.9711782861292665,test-size-weighted outer-fold mean,0.9382716049382716,0.20987654320987653,0.5740740740740741,0.19026059766179765,0.5333333333333333,0.45267489711934156,76,34,128,5,0.5044444444444444,0.02190890230020665
2,1:2,33,5,243,81,162,0.9570421781478425,0.9803694625998547,test-size-weighted outer-fold mean,0.9753086419753086,0.7716049382716049,0.8734567901234568,0.7049194884540224,0.8020304568527918,0.8395061728395061,79,125,37,2,0.4670370370370369,0.05438290172471492
2,1:2,34,5,243,81,162,0.9705473701299869,0.9876202795933188,test-size-weighted outer-fold mean,0.9876543209876543,0.8827160493827161,0.9351851851851851,0.8350361390594743,0.8888888888888888,0.9176954732510288,80,143,19,1,0.5414197530864197,0.15449919093639294
2,1:2,35,5,243,81,162,0.967330074498117,0.9816403413217138,test-size-weighted outer-fold mean,0.9876543209876543,0.5,0.7438271604938271,0.4861745593573757,0.6611570247933884,0.6625514403292181,80,81,81,1,0.5073456790123455,0.016807736313971627
2,1:2,36,5,243,81,162,0.9333964811874456,0.9793028322440087,test-size-weighted outer-fold mean,0.8271604938271605,0.808641975308642,0.8179012345679013,0.6109774589239441,0.7486033519553073,0.8148148148148148,67,131,31,14,0.4920370370370369,0.05069516742254631
2,1:2,37,5,243,81,162,0.9595445639381732,0.9819921023965141,test-size-weighted outer-fold mean,0.9382716049382716,0.4444444444444444,0.691358024691358,0.38777274863581124,0.6153846153846154,0.6090534979423868,76,72,90,5,0.457716049382716,0.023345235059857503
2,1:2,38,5,243,81,162,0.9857232394814095,0.9934413580246914,test-size-weighted outer-fold mean,0.9629629629629629,0.6049382716049383,0.7839506172839505,0.5432102678185032,0.6995515695067265,0.7242798353909465,78,98,64,3,0.4195679012345677,0.04743416490252569
2,1:2,39,5,243,81,162,0.97239685651602,0.9837168663761802,test-size-weighted outer-fold mean,0.9012345679012346,0.9567901234567902,0.9290123456790124,0.8607182405238966,0.906832298136646,0.9382716049382716,73,155,7,8,0.4603703703703702,0.03758324094593226
2,1:2,40,5,243,81,162,0.9757225033096494,0.9858614742193174,test-size-weighted outer-fold mean,0.7654320987654321,0.9320987654320988,0.8487654320987654,0.7172615574677845,0.8051948051948052,0.8765432098765432,62,151,11,19,0.48969135802469127,0.04227883631321942
2,1:2,41,5,243,81,162,0.9685166418787248,0.9817992011619462,test-size-weighted outer-fold mean,0.7777777777777778,0.7839506172839507,0.7808641975308642,0.5397956190493098,0.7039106145251397,0.7818930041152263,63,127,35,18,0.49055555555555547,0.034713109915419565
