,nHeavyAtom,ATS8e,AATS3m,AATS4i,ATSC3c,ATSC7m,ATSC6v,MATS1i,GATS2c,CrippenMR,MLogP,MDEC-23,MLFER_E,piPC1,piPC5,piPC6,nF8Ring,nFG12HeteroRing,GGI4,GGI7,JGT,XLogP,PubchemFP24,PubchemFP30,PubchemFP192,PubchemFP386,PubchemFP613,PubchemFP713,PubchemFP737,PubchemFP804
546,0.4825024503045342,0.032005926512146496,0.22931349686137417,0.24364931891675257,0.032731646244964566,0.5631543436931182,-0.13925443483504535,0.12060268291189308,0.11859540271605558,0.18825278258151662,-0.1526443840175515,0.5612334390847407,0.15464006864043522,0.8617908050264086,1.0095529497966031,1.024381550668807,-0.09772940355863854,-0.09651029039531929,0.9431880972121057,0.35188757064817283,0.274254880440081,-0.2841265225849061,5.011415539973283,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
37,-0.17911867925124147,-0.2368991382466917,-0.24666314997885344,0.21844285126143698,0.035340757007347595,1.1193593716531745,-0.7839349314457428,-0.019018465663785036,-0.03117035127675849,-0.2002014053084619,-0.04750725742219214,0.1948494828231944,-0.5671726804453414,0.06831850154643394,-0.07994048398130148,0.01690709387899361,-0.09772940355863854,-0.09651029039531929,-0.3954902232998507,-0.18832349481035135,0.007941181295763844,-0.3868499556411731,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
190,-0.17911867925124147,-0.0995661334187699,-0.22747069760806754,0.39827143173624285,0.04348268649530503,0.41946350844799035,-0.3240984814204721,-0.021198459538331448,0.3793123039412277,-0.15611155128852205,-0.2577815106129109,-0.5293417381323425,-0.3427488038736939,-0.06686004418776431,-0.483965129776185,-0.512593530033978,-0.09772940355863854,-0.09651029039531929,-0.3790584216994918,-0.17068835786207806,0.478261293104565,-0.8476314478494169,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
74,0.6295293679835955,0.10199896871450241,0.4585048219935535,0.12023803013283674,0.021229760551691304,0.12617390559512995,0.14417920882368884,0.8649914642829152,-0.2954118935864398,0.3256290534823243,0.057629869173167654,1.101401195682651,1.0145113260666354,1.0467577708193943,1.352909499296285,1.4323375825443025,-0.09772940355863854,-0.09651029039531929,1.255905817201869,1.0329098150413711,0.37873623360556036,0.17824230744098424,-0.19954441854273594,-0.2167129213117191,2.5359208009997256,-0.13766648985981775,-0.6152903396865694,4.156921938165306,3.70701166492243,-0.1417366773784602
544,-0.3996590557698334,-0.39322940587577543,-0.10354647580019911,0.2690921557810752,0.02758094969525528,-0.1415392943254298,-0.3042268932997656,-0.7851547947507953,1.4973653769231134,-0.3512942187817871,-0.1526443840175515,-0.19801994034655074,-0.1038256319055635,0.06831850154643394,0.5079546976499235,0.3857210681953712,-0.09772940355863854,-0.09651029039531929,-0.49818898191566086,-0.39994515342639025,-0.23204485699650623,-0.44830260543863076,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
418,-0.7672263499674865,-0.6981063046281387,0.33048508302023694,0.3080071422481538,0.03352627424921015,0.3049642724999823,0.06640670533353449,1.5064664874706772,-0.3907104896426289,-0.6843212721529505,-0.8886042701850679,-0.5244744591907861,0.006495093937240821,-0.8398116809785601,-0.5572934677982294,-0.9242779049773056,-0.09772940355863854,-0.09651029039531929,-0.5433764358545036,-0.5674789645928261,0.2602853652254335,-0.8081747649536322,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
710,-0.2526321380907721,-0.47429631426218866,-0.007465987729954205,0.28928366451959237,0.03836734868085423,0.42141503069516806,-0.25290267080556905,-1.2081984291459793,-0.23457019909205704,-0.33633001439016447,-0.5731928903989895,-0.5077869835160358,0.00019105246050914166,0.0026076759200441353,0.15307733598815895,-0.022855554305504518,-0.09772940355863854,-0.09651029039531929,0.07384310424913257,-0.48812084324667654,0.7336501320873267,-1.1932175670055998,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,1.6252489849091454,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
540,1.2176370386998405,0.34528854437935236,-0.017398312116926523,0.11792445143546276,0.04042408573942144,0.8132256068451138,1.4873888975683751,0.6472231614922475,-0.7912877481261403,1.065333894740038,1.3192753883174815,2.6573209554380113,0.4767765881014237,1.2197223929080452,1.389816791564309,1.5221828138541502,-0.09772940355863854,-0.09651029039531929,1.4161158804946465,0.43772390494524904,0.39241732282786035,2.2342983063839696,5.011415539973283,-0.2167129213117191,2.5359208009997256,-0.13766648985981775,-0.6152903396865694,4.156921938165306,-0.2697590648182989,-0.1417366773784602
558,-0.2526321380907721,-0.43946588350488375,-0.0585805867655743,0.12749293384779908,0.043577254685405534,0.015578820703347096,-0.549033566410561,0.16936313029557226,0.8818565600921309,-0.20969911000893593,0.057629869173167654,0.10833976435115143,-0.10067361116719759,0.18995535657241977,0.7125308700421615,0.7634574714059054,-0.09772940355863854,-0.09651029039531929,0.0076024045675980225,-0.30511129690948297,0.08935790431053371,-0.09069807137741012,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
189,0.40898899146500356,0.5806181237304141,-0.24088796522723244,0.26169219254057763,0.0449741266744114,-0.46187145977592353,1.7271332979393492,0.44485076077417546,-0.27255253736788254,0.41299052749200027,0.7935897553406841,1.1298238091968775,-0.17253968400193867,0.6632930064998822,0.43417581422153934,0.554242468764188,4.155826541803058,-0.09651029039531929,0.08616695498725742,0.8766229034753994,0.2034551992402675,0.183684608530058,-0.19954441854273594,-0.2167129213117191,-0.3943340815713859,-0.13766648985981775,-0.6152903396865694,-0.24056261216234406,-0.2697590648182989,-0.1417366773784602
