mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.19641826152801514,0.04149674930690976,0.010360527038574218,0.0006452824350113196,gini,,2,10,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9721115537848605,0.9554655870445343,0.976190476190476,0.984251968503937,0.96,0.9723320158102767,0.980544747081712,0.9635627530364372,0.9841269841269842,0.9763779527559056,0.9724964038335123,0.009450641243618652,13
0.11174695491790772,0.012778386292424613,0.01060500144958496,0.0012998637091178793,gini,,2,10,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9389312977099236,0.9531249999999999,0.9723320158102767,0.9638554216867471,0.9612403100775194,0.9641434262948209,0.9615384615384616,0.9112903225806451,0.9571984435797665,0.9571984435797665,0.9540853142857927,0.01648534799766265,264
0.19474308490753173,0.03428776838059813,0.012120795249938966,0.0049578507707214794,gini,,4,2,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9641434262948209,0.9596774193548386,0.9880478087649402,0.9721115537848605,0.9641434262948209,0.9641434262948209,0.9765625,0.9516129032258065,0.959349593495935,0.9603174603174602,0.9660109517828305,0.00984299501737638,147
0.10818178653717041,0.020308852260339464,0.011548924446105956,0.005475250579846676,gini,,4,2,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9448818897637795,0.9407114624505929,0.9516129032258065,0.9512195121951219,0.9272030651340997,0.9421487603305785,0.9541984732824427,0.9407114624505929,0.96,0.9338521400778211,0.9446539668910837,0.009363544416478473,283
0.19931409358978272,0.030792309474510032,0.012439131736755371,0.004965064883661029,gini,,4,5,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9641434262948209,0.9596774193548386,0.9880478087649402,0.9721115537848605,0.9641434262948209,0.9641434262948209,0.9765625,0.9516129032258065,0.959349593495935,0.9603174603174602,0.9660109517828305,0.00984299501737638,147
0.0984769344329834,0.009399701198652405,0.010505318641662598,0.0007173631952775498,gini,,4,5,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.9448818897637795,0.9407114624505929,0.9516129032258065,0.9512195121951219,0.9272030651340997,0.9421487603305785,0.9541984732824427,0.9407114624505929,0.96,0.9338521400778211,0.9446539668910837,0.009363544416478473,283
0.17922213077545165,0.020286544229242073,0.011355876922607422,0.002044939872365745,gini,,4,10,42,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9641434262948209,0.9596774193548386,0.9841269841269842,0.968503937007874,0.9558232931726907,0.9638554216867471,0.9765625,0.9508196721311475,0.959349593495935,0.9644268774703557,0.9647289124741393,0.00926821703803816,165
0.09895005226135253,0.007519779811502535,0.01038055419921875,0.0006637020831442128,gini,,4,10,42,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9612403100775194,0.9375,0.9402390438247011,0.943089430894309,0.9243027888446215,0.9280000000000002,0.9348659003831418,0.9280000000000002,0.9411764705882352,0.9609375,0.9399351444612527,0.012113978872394852,295
0.1813941240310669,0.030093244036376463,0.010380101203918458,0.0005045105809860475,gini,10,1,2,42,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9482071713147411,0.9644268774703557,0.9721115537848605,0.9606299212598425,0.9370078740157481,0.9687500000000001,0.9649805447470817,0.9426229508196721,0.9765625,0.9538461538461539,0.9589145547258455,0.012402124512303821,232
0.09503293037414551,0.009675475448987916,0.012430191040039062,0.004847846056072821,gini,10,1,2,42,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.9213483146067415,0.952755905511811,0.9359999999999999,0.9612403100775194,0.9429657794676807,0.9435483870967741,0.9534883720930233,0.9272030651340997,0.9649805447470817,0.9389312977099236,0.9442461976444655,0.013377973255441405,291
0.18591773509979248,0.026086424279988037,0.010834455490112305,0.0013496104723617135,gini,10,1,5,42,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9482071713147411,0.9682539682539683,0.968,0.9644268774703557,0.9435483870967741,0.9649805447470817,0.9687500000000001,0.9469387755102041,0.9881422924901185,0.9612403100775194,0.9622488326960763,0.012555357555567269,197
0.09854295253753662,0.014520205206563571,0.011077260971069336,0.0019585405460953685,gini,10,1,5,42,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",0.9213483146067415,0.9125475285171102,0.9280000000000002,0.9729729729729729,0.9501915708812261,0.9243027888446215,0.9615384615384616,0.9296875,0.9655172413793104,0.9384615384615385,0.9404567917201982,0.019760247788782034,294
0.17673261165618898,0.023953050280260988,0.010083246231079101,0.00040530062828963433,gini,10,1,10,42,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",0.9444444444444443,0.9682539682539683,0.968,0.968503937007874,0.9435483870967741,0.9687500000000001,0.9649805447470817,0.9469387755102041,0.9802371541501976,0.9531249999999999,0.9606782211210543,0.012005198531011138,205
0.09513373374938965,0.01774977144978148,0.0119476318359375,0.0050572271338261586,gini,10,1,10,42,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",0.9277566539923955,0.9370078740157481,0.9193548387096775,0.9725490196078432,0.9182879377431907,0.909090909090909,0.9729729729729729,0.9260700389105059,0.9548872180451127,0.9307692307692308,0.9368746693857586,0.02135818217834864,300
0.18680112361907958,0.020338576868142035,0.01121366024017334,0.0026025592892493917,gini,10,2,2,42,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.9482071713147411,0.9603174603174602,0.9718875502008032,0.9721115537848605,0.9435483870967741,0.9647058823529412,0.9687500000000001,0.9469387755102041,0.9881422924901185,0.9725490196078432,0.9637158092675747,0.013336147456858932,183
0.10569491386413574,0.016319958967714137,0.01026463508605957,0.0005907798502285469,gini,10,2,2,42,random,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.923076923076923,0.9260700389105059,0.9061224489795918,0.932806324110672,0.9291338582677164,0.9169960474308301,0.9538461538461539,0.9163346613545816,0.9494163424124514,0.9296875,0.9283490298389425,0.013843608589037342,308
0.17530481815338134,0.024022050445754617,0.011635017395019532,0.002051459999766916,gini,10,2,5,42,best,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",0.9482071713147411,0.9603174603174602,0.9718875502008032,0.968,0.9435483870967741,0.9647058823529412,0.9687500000000001,0.9469387755102041,0.9881422924901185,0.9644268774703557,0.9624924396753398,0.012782440047286136,194
