mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.6695313930511475,0.06596991701064679,0.41155385971069336,0.14411801530566457,kd_tree,-1,11,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'distance'}",0.8945454545454545,0.9136690647482013,0.9253731343283583,0.9333333333333333,0.926470588235294,0.8992805755395684,0.9202898550724637,0.9057971014492754,0.9202898550724637,0.927007299270073,0.9166056261594486,0.012253982627558335,23
0.69471595287323,0.17511845235232018,0.5050976037979126,0.23010593111879687,kd_tree,-1,15,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'uniform'}",0.8510638297872342,0.8811188811188813,0.901818181818182,0.9097472924187726,0.8794326241134752,0.8532423208191127,0.865051903114187,0.8723404255319149,0.8719723183391005,0.8912280701754386,0.8777015847236298,0.01826358235015807,39
0.7256099462509156,0.16297548345697546,0.3168529748916626,0.23295852612423673,kd_tree,-1,15,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'distance'}",0.8808664259927798,0.900709219858156,0.9111111111111111,0.929889298892989,0.8888888888888888,0.8741258741258742,0.8873239436619719,0.8888888888888888,0.8936170212765956,0.9071428571428571,0.8962563529840113,0.015530949409357547,31
0.7453703880310059,0.11793641746875336,0.36353824138641355,0.19519673053841924,kd_tree,-1,21,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'uniform'}",0.8214285714285714,0.8600682593856656,0.8985507246376812,0.8833922261484098,0.8671328671328672,0.8278145695364237,0.8503401360544218,0.8501742160278746,0.8456375838926173,0.8571428571428572,0.856168201138739,0.02205758042497891,41
0.7693387985229492,0.1370607713200315,0.46771085262298584,0.2046041151375333,kd_tree,-1,21,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'distance'}",0.8613138686131387,0.8881118881118881,0.9037037037037037,0.9130434782608696,0.8865248226950354,0.8561643835616439,0.8741258741258742,0.8701754385964912,0.8811188811188813,0.8881118881118881,0.8822394226899414,0.016814734691355016,38
0.03423318862915039,0.011879487818207057,0.02270052433013916,0.01937404533851109,brute,-1,3,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.043470144271850586,0.02305093977041887,0.09180092811584473,0.04861834293991353,brute,-1,3,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",0.9425287356321839,0.9657794676806084,0.9649805447470817,0.9883268482490272,0.9541984732824427,0.9694656488549619,0.9621212121212122,0.9584905660377357,0.9694656488549619,0.9513108614232211,0.9626668006883439,0.011789313014634947,1
0.05783786773681641,0.04085870394401376,0.05460669994354248,0.03601682882310061,brute,-1,5,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.05363285541534424,0.029927761234746258,0.07880253791809082,0.028965611131297017,brute,-1,5,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",0.9111111111111111,0.9372693726937269,0.9501915708812261,0.9657794676806084,0.9398496240601504,0.9398496240601504,0.9338235294117647,0.9505703422053232,0.9372693726937269,0.9442379182156134,0.9409951933013401,0.013326333426611145,7
0.04615323543548584,0.019767631671047014,0.009965467453002929,0.009342419921849641,brute,-1,7,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.047289490699768066,0.014369276457338662,0.07751848697662353,0.017226403023892962,brute,-1,7,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'distance'}",0.9044117647058824,0.927007299270073,0.9465648854961832,0.9548872180451127,0.9363295880149813,0.9259259259259259,0.9304029304029303,0.9363295880149813,0.9338235294117647,0.9407407407407408,0.9336423470028576,0.01285179703361479,13
0.049066710472106936,0.021955752317337124,0.026256823539733888,0.023363064088794374,brute,-1,9,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.03769690990447998,0.009235109224799367,0.08388912677764893,0.009114445506545991,brute,-1,9,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 9, 'weights': 'distance'}",0.9010989010989011,0.9236363636363636,0.9323308270676692,0.9473684210526315,0.9333333333333333,0.9025270758122743,0.927007299270073,0.9259259259259259,0.927007299270073,0.927007299270073,0.9247242745737319,0.013091489332693336,17
0.04934439659118652,0.015670261042680874,0.018772101402282713,0.016503632916150774,brute,-1,11,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.03645558357238769,0.007159080284599737,0.06476624011993408,0.01900574607911514,brute,-1,11,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 11, 'weights': 'distance'}",0.8945454545454545,0.9136690647482013,0.9253731343283583,0.9333333333333333,0.926470588235294,0.8992805755395684,0.9202898550724637,0.901818181818182,0.9202898550724637,0.9236363636363636,0.9158706406329683,0.012406770872504674,25
0.04061119556427002,0.009120179542027205,0.051580262184143064,0.030844677071799186,brute,-1,15,uniform,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'uniform'}",,,,,,,,,,,,,43
0.04330897331237793,0.015025528515624007,0.06925625801086426,0.017367259462747826,brute,-1,15,distance,"{'algorithm': 'brute', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'distance'}",0.8808664259927798,0.900709219858156,0.9111111111111111,0.929889298892989,0.8888888888888888,0.8741258741258742,0.8873239436619719,0.8888888888888888,0.8936170212765956,0.9071428571428571,0.8962563529840113,0.015530949409357547,31
