mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.049598193168640135,0.0031792128136848364,0.0023514986038208007,0.0006580195342993111,squared_error,10,1,5,42,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",-0.33552964612737063,-0.31221890902082533,-0.43065400782377883,-0.5294057362833325,-0.30558625852092236,-0.4250684925689477,-0.40713258652961976,-0.5056322654587269,-0.3778129504190842,-0.4647457717106939,-0.4093786624463302,0.0735551354207496,147,-0.11431774591313087,-0.14293636246636532,-0.0950615445487863,-0.09411402821439492,-0.10290626125984706,-0.08747681817149018,-0.11282698464122637,-0.09606306481689546,-0.09779165556282479,-0.13582172065673778,-0.10793161862516991,0.01764039745310294
0.007377767562866211,0.001115178447161625,0.0025551557540893556,0.0006587431601257644,squared_error,10,1,5,42,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",-0.25429931160147506,-0.24746622262863777,-0.3029598002337455,-0.28550519936760865,-0.3024225317901564,-0.33681133547831243,-0.36220323825292683,-0.3042143193412533,-0.2737103304005605,-0.3627235794160711,-0.30323158685107476,0.038517683433823585,12,-0.2062769614423138,-0.21012840137890984,-0.19845314992149893,-0.21861900997261288,-0.18111937921670687,-0.16400086710443335,-0.17273122770412286,-0.18453273646734333,-0.20741394248412637,-0.18903068534032907,-0.19323063610323973,0.016862183021980403
0.0506054162979126,0.003939173057673726,0.0028030872344970703,0.0006261027138812319,squared_error,10,1,10,42,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",-0.3125357215951327,-0.31424295107751293,-0.40435459999960943,-0.5938880428189016,-0.30984455866048627,-0.4426552765501844,-0.38806087702563086,-0.46276435765555984,-0.33673469326596006,-0.4399618997456086,-0.40050429783945873,0.08499535275555221,137,-0.13406913657712574,-0.15589908528319296,-0.11120377920051158,-0.10477674512825169,-0.11779853909084921,-0.10436304753450454,-0.12567813981271264,-0.12427699641496731,-0.1242143103593808,-0.14617057308387083,-0.12484503524853671,0.01601129676758305
0.007074546813964844,0.0012928210586435494,0.002466130256652832,0.0006536988849712425,squared_error,10,1,10,42,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",-0.24169174887239278,-0.22349220947258341,-0.2717620020433487,-0.2793132318969839,-0.27983164059940707,-0.30465350966362825,-0.33397053250950914,-0.3608696021987078,-0.31156888287133033,-0.4132842525182075,-0.3020437612646099,0.0535644805878269,11,-0.21914932808182694,-0.2202990641232727,-0.2071427435265381,-0.22201404891510834,-0.1929970407102803,-0.18230076247645208,-0.19100873384423775,-0.20330434126607766,-0.21398700164517426,-0.20327171957219733,-0.20554747841611656,0.012911417765730385
0.05481364727020264,0.005420635920859199,0.002785778045654297,0.0005988717467137959,squared_error,10,2,2,42,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",-0.3124329563572035,-0.2747088392711964,-0.4161461101068984,-0.4420372622646056,-0.28861456140482905,-0.3779870889400198,-0.3577367185213399,-0.47163865708453445,-0.35595012344199967,-0.4726685361122342,-0.3769920853504861,0.06865181943274905,113,-0.11535621739541926,-0.14146614130670923,-0.0893004283216916,-0.09279192877458907,-0.10308713651630791,-0.0877097357577868,-0.11714717559014493,-0.09589797613561393,-0.09237856838991303,-0.13447583368789343,-0.10696111418760693,0.01831726745697542
0.0077925920486450195,0.001327993862288658,0.0026969671249389648,0.0004069146326180726,squared_error,10,2,2,42,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",-0.30692619592195736,-0.23592875570917393,-0.2857063373830128,-0.32597564262127443,-0.23051603264772735,-0.3295091886816234,-0.41195524145470325,-0.3255114202117325,-0.29612314386432037,-0.38177413478939604,-0.31299260932849216,0.05378635708430454,18,-0.198297683343862,-0.2138704598449557,-0.20847462316763735,-0.1802755382939463,-0.17007852272698923,-0.1775864308580129,-0.18120685450902652,-0.2005691973642487,-0.20443512585191817,-0.17608514071836529,-0.1910879576678962,0.014848152084324408
0.0528529167175293,0.003245240990572982,0.002879500389099121,0.0003143928133910598,squared_error,10,2,5,42,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'best'}",-0.318379257695258,-0.27659268883239246,-0.419818161828692,-0.4144657451048159,-0.29032921275390144,-0.34825885145884805,-0.35148669683377437,-0.48754231844093465,-0.34513414118518254,-0.4727465724831088,-0.37247536466169084,0.06923989040994284,100,-0.1156202110772473,-0.1433108013494928,-0.09149322989669964,-0.09480298224503718,-0.10656584675965042,-0.09113738406864545,-0.11986825662425947,-0.09936550579751724,-0.09627769660397809,-0.13800014718533068,-0.10964420616078582,0.018065870451568492
0.006923508644104004,0.0012559939763535429,0.002403664588928223,0.0004868900964326019,squared_error,10,2,5,42,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'random_state': 42, 'splitter': 'random'}",-0.23193940514059241,-0.23569252940201635,-0.3000321229886436,-0.2827885253688586,-0.28824586203197883,-0.3774012049082445,-0.33203199139000233,-0.2795318616848561,-0.2718193595101744,-0.3642403018948988,-0.29637231643202655,0.04628973394023695,7,-0.21515405824216863,-0.2155455407630652,-0.20092153088475959,-0.20981620678384896,-0.17026454476202432,-0.1657865526354154,-0.17397144983159502,-0.1908867955476123,-0.20709644945528463,-0.19116553287073834,-0.19406086617765123,0.017774937272431665
0.0485783576965332,0.004596754110985321,0.0024769067764282226,0.0005175272355818723,squared_error,10,2,10,42,best,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'best'}",-0.3083172705977884,-0.2971547351792848,-0.4031665158998487,-0.4449523290772127,-0.31833562602504145,-0.37064557896472655,-0.34818797296126824,-0.42563598763778404,-0.29182156226498895,-0.44190248753741046,-0.3650120066145354,0.05753507464091314,78,-0.13384980785884854,-0.16101149928388672,-0.11524560123291229,-0.10912934126633254,-0.12143035540988995,-0.10901873974483298,-0.13411050936769822,-0.12490934585649055,-0.1260771134652702,-0.14772706797204355,-0.12825093814582056,0.015764896854908332
0.006210446357727051,0.0011383534249275458,0.002191042900085449,0.0005697013264696025,squared_error,10,2,10,42,random,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10, 'random_state': 42, 'splitter': 'random'}",-0.2406610673777071,-0.2461097327389215,-0.2600287777397334,-0.27005677674282125,-0.2559734779522644,-0.3076871550157065,-0.35251367848802245,-0.35430754100520984,-0.2712516166406774,-0.4127729051816229,-0.2971362728882687,0.05485086676766084,10,-0.21941114802031292,-0.21146404632225643,-0.21767588236887847,-0.2222592275634171,-0.189942571486158,-0.16943772304271937,-0.19178356613287204,-0.2035605591456994,-0.21983081645184233,-0.204077541846467,-0.20494430823806228,0.01611503910003906
