mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.006853079795837403,0.0009830935422758338,0.205696439743042,0.0312737575808676,ball_tree,-1,15,uniform,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'uniform'}",-0.21541541304698197,-0.24276885039803656,-0.26156326784872513,-0.2592785831039835,-0.20724140277620212,-0.2729427761901852,-0.27637506548440594,-0.3443381962572603,-0.26365583591030883,-0.35121193081728974,-0.2694791321833379,0.04478187502024598,9,-0.23711513412077617,-0.23483861235872816,-0.23202292871982422,-0.23354771524232878,-0.24019786943551164,-0.23119258590815894,-0.23365587898961987,-0.22549793704252294,-0.23369682066924863,-0.22591597151296358,-0.2327681453999683,0.004283551488923383
0.007198309898376465,0.00098303622846307,0.17705674171447755,0.02938285512257067,ball_tree,-1,15,distance,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 15, 'weights': 'distance'}",-0.22000977739896924,-0.24725648911752893,-0.2790624862217179,-0.2553750774591182,-0.21447207010876188,-0.26815803031855173,-0.2910634560986777,-0.32236988783577897,-0.26288769737260315,-0.3541764178541183,-0.2714831389785826,0.04086512205168464,13,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
0.0073893070220947266,0.0010804484645647637,0.1561180591583252,0.031238054773383223,ball_tree,-1,21,uniform,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'uniform'}",-0.20801502914188366,-0.23231766708365198,-0.2357950860626812,-0.2524071941760809,-0.1980447340028375,-0.26923025152638336,-0.2823432926226801,-0.3301540162693123,-0.26362763847120874,-0.33862809983965214,-0.2610563009196372,0.04431830173946698,3,-0.24000377138874227,-0.23754977386411144,-0.23777418242636483,-0.23485979562339204,-0.24248738103085624,-0.2330783369946814,-0.23436460044674864,-0.22781021247966765,-0.23570585702233,-0.227684258607012,-0.2351318169883906,0.004527138278633364
0.007690644264221192,0.0013815276778052859,0.12790448665618898,0.030034483055344067,ball_tree,-1,21,distance,"{'algorithm': 'ball_tree', 'n_jobs': -1, 'n_neighbors': 21, 'weights': 'distance'}",-0.21301178286195774,-0.2391217972650497,-0.2567690968426008,-0.24992403294703144,-0.20426431617526228,-0.2656924137206482,-0.2941880901062102,-0.3142332369107445,-0.2632536417753749,-0.3418574997114588,-0.26423159083163383,0.040665548191281285,7,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
0.009583425521850587,0.0010632557134949224,0.1145359992980957,0.026062676153276072,kd_tree,-1,3,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'uniform'}",-0.2868040676193441,-0.24357404506450353,-0.2675791906131226,-0.3380752184943176,-0.28386417941515124,-0.30399871368864806,-0.3225359242415666,-0.39924290175504473,-0.28387321042066543,-0.42780422350531006,-0.31573516748176733,0.05532654511615538,44,-0.15642303505547567,-0.1574953305281494,-0.1600784090548492,-0.15760553844004555,-0.15852859123784283,-0.15557944676399743,-0.15407774954638248,-0.1466967834509016,-0.16019944359370475,-0.15051811161453818,-0.15572024392858871,0.004066269321607093
0.011419367790222169,0.0019422547085613678,0.1528242349624634,0.03854452594218263,kd_tree,-1,3,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 3, 'weights': 'distance'}",-0.2908727905114035,-0.25093093143447914,-0.28726292054280733,-0.3364901529480778,-0.28999998977989067,-0.30006955358148024,-0.3579453172705998,-0.39567011872980967,-0.2975455959505936,-0.4384346195420769,-0.3245221990291219,0.05454545433529496,48,-0.0043629413754605545,-0.0031421804858828626,-0.003225657449662856,-0.004519883322399001,-0.004798790434360046,-0.004773877960307429,-0.0039560251101129,-0.0033404941649332353,-0.004301084509062074,-0.00491849764827409,-0.0041339432460455044,0.0006454597344346993
0.01113576889038086,0.0010978512314220484,0.18444268703460692,0.016946845954498826,kd_tree,-1,5,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'uniform'}",-0.2663872811174315,-0.23610253393052358,-0.2488273163872626,-0.2893831521261107,-0.24586770358153134,-0.29749154188066923,-0.2965784404271243,-0.3831785034309441,-0.2897664021492855,-0.3946252850878012,-0.29482081601186844,0.051576605223075146,36,-0.19623783521705887,-0.19933594387279313,-0.1987339469600831,-0.195124389596927,-0.20013484230021727,-0.19312451318730622,-0.19091644614802042,-0.18616199122295993,-0.1936689230437521,-0.1865661378796133,-0.1940004969428731,0.004710329902671073
0.01330099105834961,0.005561249536275911,0.15454249382019042,0.020891441269787366,kd_tree,-1,5,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 5, 'weights': 'distance'}",-0.262073419241914,-0.24306159769418223,-0.26893621088987235,-0.29228900737107294,-0.2587141013556601,-0.2907128149278131,-0.3255365369670119,-0.3653077315539658,-0.2961471399676463,-0.4002258637906563,-0.30030044237597947,0.04740462317914579,40,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
0.01435258388519287,0.003391297271139145,0.13504700660705565,0.02077468477789987,kd_tree,-1,7,uniform,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'uniform'}",-0.24006931461953174,-0.2296878464020044,-0.2631589617311636,-0.2531284774419216,-0.21644692941204544,-0.28856564157882136,-0.26598990215806234,-0.3811124475192541,-0.28456698250853113,-0.36558381877058427,-0.278831032214192,0.051957316249609926,28,-0.21005573781164838,-0.20983101170120544,-0.21034870194201086,-0.21414150751882874,-0.21323192956685239,-0.2048622854622206,-0.20614954831128918,-0.19862992875866117,-0.2087028208470715,-0.2008219722294692,-0.20767754441492575,0.004798251629746771
0.010995054244995117,0.002160834900456722,0.13551466464996337,0.023030997802286134,kd_tree,-1,7,distance,"{'algorithm': 'kd_tree', 'n_jobs': -1, 'n_neighbors': 7, 'weights': 'distance'}",-0.23864583800961575,-0.23479113530501658,-0.2810856144373396,-0.25556477577149755,-0.23131906885093692,-0.28292395963468536,-0.2905743405938388,-0.3555244753424641,-0.28509613108771775,-0.3706539344556915,-0.28261792734888036,0.04552140540810876,32,-0.00436120863121915,-0.0031404477416414577,-0.0032239247054214513,-0.004518150578157597,-0.004798790434360046,-0.0047721452160660255,-0.003954292365871495,-0.0033404941649332353,-0.0042993539581678095,-0.00491849764827409,-0.004132730544411235,0.0006456363465294491
