mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_cache_size,param_degree,param_epsilon,param_gamma,param_kernel,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.7563257694244385,0.8770798923666994,0.004579901695251465,0.00048754602556911475,0.1,5000,2,0.5,auto,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.5, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1}",-0.19743030447338972,-0.2183311808795577,-0.22730979331016138,-0.26568420542575494,-0.20472180980516227,-0.266578619044324,-0.2648000441719511,-0.29473150076954496,-0.24984215792441375,-0.3081403107857959,-0.24975699265900558,0.035287349693261034,9,-0.2553232200414542,-0.25300144371597605,-0.25189569253640887,-0.24771926626954374,-0.2544575110836435,-0.24758490796191632,-0.2478525319063748,-0.2445283147762929,-0.24953157871727302,-0.2430564294125091,-0.2494950896421393,0.0039022687228363884
0.08296759128570556,0.008268388707715988,0.009557509422302246,0.00048664920217142654,0.1,5000,2,0.5,auto,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.5, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1}",-0.19659098303721434,-0.2177622817129943,-0.22898964197204427,-0.2655688353448695,-0.20476555441041447,-0.2682759830507821,-0.26664936210533985,-0.29702713731616204,-0.25016205610403336,-0.3129284904656885,-0.2508720325519543,0.03660184919568132,23,-0.2520559770211025,-0.2494314420349734,-0.24838241206729403,-0.24484717698466785,-0.25097023479365554,-0.24387423688634052,-0.2442620376090375,-0.24109584447383375,-0.24637099713980953,-0.23904990233415815,-0.24603402613448727,0.004002222087334279
0.09113750457763672,0.010881952944596667,0.004679059982299805,0.0008952423809812875,0.1,5000,2,0.5,auto,poly,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.5, 'gamma': 'auto', 'kernel': 'poly', 'max_iter': -1}",-0.19854257710444595,-0.2167433339518268,-0.23070781076389402,-0.2676647577973854,-0.2047126020653165,-0.2686104144052808,-0.2761156300784769,-0.29983120990160617,-0.2501703340756022,-0.31367644129337313,-0.2526775111437208,0.037394656733517787,25,-0.25160689269583864,-0.2489600819869195,-0.2479680812564004,-0.24434111579271567,-0.25080940304293403,-0.24360209185839443,-0.2433819119046744,-0.24071880970089057,-0.24661450961432113,-0.23920938074174974,-0.24572122785948386,0.003951749510855833
0.05190973281860352,0.009551966344877262,0.005675172805786133,0.00045644747489103965,0.1,5000,2,0.5,auto,sigmoid,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 2, 'epsilon': 0.5, 'gamma': 'auto', 'kernel': 'sigmoid', 'max_iter': -1}",-0.29744386645296667,-0.2684689168968218,-0.28963527401593564,-0.32597819973036674,-0.2489756586178777,-0.33988839604620785,-0.3699007828662866,-0.31983348528538685,-0.36915241238693336,-0.34051141981287997,-0.31697884121116626,0.03846753481609805,153,-0.32194126609144336,-0.33983495732792834,-0.33895129437368104,-0.36124982691350116,-0.3419850674876008,-0.35764372084946916,-0.3468847999244647,-0.320057739894316,-0.3538668614163831,-0.3293125727036891,-0.34117281069824773,0.01353473945700818
0.8863695144653321,0.26493615789743885,0.007185125350952148,0.0003914760932768865,0.1,5000,3,0.1,scale,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1}",-0.20654474132524012,-0.23895686081067755,-0.2501884575247591,-0.27934816752604624,-0.22872672516710554,-0.26821468369828133,-0.2964694050401832,-0.3611874275304691,-0.2604894882501302,-0.35099893163005536,-0.2741124888502948,0.04761799011046466,67,-0.2601867716655649,-0.2585098526046442,-0.25742550039156104,-0.25126009038650926,-0.26309223766858686,-0.2526272743026266,-0.25144564076105985,-0.24500990942502782,-0.2532759518096228,-0.24602960743273417,-0.25388628364479376,0.005600694621867001
0.0893564224243164,0.007928911561692656,0.021704506874084473,0.0011608198595812688,0.1,5000,3,0.1,scale,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1}",-0.21589088196276174,-0.2300681892772377,-0.23187375054558534,-0.2651132841468643,-0.21739118430757765,-0.2685969608038668,-0.2908784315747097,-0.33427550831983543,-0.25916480092671595,-0.33579790169965995,-0.2649050893564814,0.041861590027584335,49,-0.24706452968506057,-0.24678548254299412,-0.24460172389451112,-0.24043773201446952,-0.25046002404422785,-0.23980437519799375,-0.24247626707479256,-0.23645579680202017,-0.2419197859490257,-0.2348189702196103,-0.24248246874247056,0.004629941784033258
0.19723076820373536,0.02315276867340629,0.007867193222045899,0.000659719461127539,0.1,5000,3,0.1,scale,poly,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': -1}",-0.23129147165291963,-0.23600187982977536,-0.2344708141704919,-0.2640927209990742,-0.4223751986270399,-0.258179288651459,-0.4324190473726578,-1.47052097723504,-0.27306526544355414,-0.3366983056759247,-0.4159114969657936,0.35867761929082387,172,-0.2386972153302661,-0.23676152625700714,-0.23602011231708778,-0.23368258783174536,-0.23904258418176721,-0.2333435711692066,-0.22964205851157837,-0.22580412877310777,-0.23564593792305955,-0.2260447462636125,-0.23346844685584384,0.004572348005302031
0.09839563369750977,0.00965701501133387,0.009557485580444336,0.000661244032565507,0.1,5000,3,0.1,scale,sigmoid,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid', 'max_iter': -1}",-0.39790547065924414,-0.33004290246366613,-0.3325625638432822,-0.4447238006557828,-0.35613356179527655,-0.48396644800547084,-0.5081292000483759,-0.49879372193171734,-0.4448651321978408,-0.47255306408859965,-0.4269675865689256,0.06471281234752022,177,-0.42782877742278197,-0.4552369002703572,-0.44140440236928913,-0.44103719332609576,-0.4519324359902353,-0.4072517557094867,-0.4338584421481674,-0.47310805237480746,-0.41620530740128736,-0.4994947741509315,-0.44473580411634395,0.025716880532852215
0.9068457841873169,0.28551001685969446,0.006780433654785156,0.0004044877655771114,0.1,5000,3,0.1,auto,linear,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear', 'max_iter': -1}",-0.20654474132524012,-0.23895686081067755,-0.2501884575247591,-0.27934816752604624,-0.22872672516710554,-0.26821468369828133,-0.2964694050401832,-0.3611874275304691,-0.2604894882501302,-0.35099893163005536,-0.2741124888502948,0.04761799011046466,67,-0.2601867716655649,-0.2585098526046442,-0.25742550039156104,-0.25126009038650926,-0.26309223766858686,-0.2526272743026266,-0.25144564076105985,-0.24500990942502782,-0.2532759518096228,-0.24602960743273417,-0.25388628364479376,0.005600694621867001
0.08829150199890137,0.004334155956650671,0.021903085708618163,0.003052827297133428,0.1,5000,3,0.1,auto,rbf,-1,"{'C': 0.1, 'cache_size': 5000, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': -1}",-0.21590209404813818,-0.2301838948178217,-0.23174659584203613,-0.2651880489079228,-0.21740425277646508,-0.26863783939510294,-0.290919840300838,-0.33407066287463333,-0.259149670365594,-0.3354243161024708,-0.26486272154310236,0.041765291357031234,47,-0.24700808132680346,-0.2467529894438099,-0.24438766333544104,-0.2405181958945562,-0.25057050506287953,-0.23975547857857332,-0.24261840087385333,-0.23664886126840612,-0.24198457310348256,-0.23533629511443216,-0.24255810440022377,0.004520701286574737
